Variable:,tas
,Spain,Andalucía,Aragón,"Principado de Asturias","Illes Balears",Canarias,Cantabria,"Castilla y León","Castilla-La Mancha",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Comunitat Valenciana",Extremadura,Galicia,"Comunidad de Madrid","Ciudad Autónoma de Melilla","Región de Murcia","Comunidad Foral de Navarra","País Vasco/Euskadi","La Rioja"
1901,12.21,14.92,10.83,9.86,15.22,17.91,10.28,9.96,12.18,11.25,16.84,13.81,14.59,10.87,12.02,17.61,14.68,10.84,11.03,9.66
1902,12.42,15.06,11.12,10.00,15.56,17.88,10.44,10.16,12.44,11.57,16.86,14.12,14.74,11.01,12.25,17.62,14.94,11.07,11.23,9.88
1903,12.48,15.11,11.11,10.21,15.30,17.56,10.62,10.31,12.45,11.53,16.93,14.01,14.85,11.24,12.30,17.60,14.88,11.17,11.37,10.03
1904,12.86,15.49,11.56,10.44,15.81,17.46,10.92,10.64,12.86,12.03,17.28,14.49,15.22,11.48,12.71,17.99,15.31,11.58,11.73,10.37
1905,12.23,14.89,10.87,9.86,15.20,17.60,10.25,9.99,12.24,11.32,16.70,13.83,14.59,10.87,12.07,17.43,14.71,10.88,11.04,9.67
1906,12.49,15.07,11.12,10.29,15.21,17.55,10.69,10.36,12.42,11.56,16.86,13.95,14.84,11.31,12.33,17.55,14.84,11.26,11.45,10.06
1907,12.31,14.89,10.98,10.06,15.19,17.24,10.49,10.15,12.26,11.43,16.63,13.84,14.67,11.09,12.14,17.35,14.67,11.09,11.28,9.91
1908,12.59,15.19,11.21,10.37,15.38,17.38,10.74,10.43,12.57,11.60,16.96,14.13,14.96,11.42,12.43,17.65,14.98,11.26,11.46,10.13
1909,12.17,14.85,10.71,9.91,15.01,17.64,10.24,9.97,12.18,11.10,16.66,13.68,14.60,10.98,12.02,17.34,14.61,10.72,10.93,9.59
1910,12.26,14.87,10.91,10.02,15.16,17.54,10.39,10.07,12.22,11.40,16.66,13.81,14.59,11.03,12.08,17.40,14.70,10.98,11.17,9.77
1911,12.54,14.98,11.42,10.35,15.75,17.52,10.81,10.35,12.41,12.02,16.69,14.15,14.70,11.28,12.26,17.55,14.89,11.54,11.68,10.22
1912,12.33,14.91,11.00,10.09,15.27,17.57,10.48,10.13,12.29,11.45,16.66,13.89,14.64,11.11,12.13,17.45,14.76,11.06,11.25,9.85
1913,12.66,15.16,11.45,10.41,15.74,17.59,10.85,10.45,12.60,11.96,16.82,14.29,14.88,11.38,12.45,17.68,15.08,11.51,11.68,10.25
1914,12.39,14.94,11.02,10.22,15.44,17.67,10.57,10.23,12.34,11.49,16.61,13.93,14.71,11.23,12.22,17.39,14.80,11.12,11.33,9.92
1915,12.41,15.01,11.02,10.18,15.31,17.84,10.56,10.23,12.38,11.49,16.74,13.90,14.77,11.22,12.23,17.47,14.79,11.11,11.31,9.94
1916,12.47,15.00,11.18,10.22,15.44,17.45,10.67,10.29,12.42,11.69,16.72,14.01,14.75,11.23,12.25,17.50,14.85,11.28,11.46,10.07
1917,11.89,14.50,10.50,9.63,14.85,17.16,10.01,9.69,11.87,10.98,16.23,13.41,14.26,10.68,11.67,16.99,14.29,10.57,10.76,9.41
1918,12.29,14.83,10.92,10.22,15.00,16.93,10.56,10.18,12.21,11.38,16.57,13.72,14.65,11.29,12.07,17.26,14.59,11.08,11.31,9.90
1919,12.17,14.76,10.73,10.03,14.83,17.97,10.37,10.04,12.11,11.16,16.51,13.59,14.59,11.13,11.97,17.17,14.50,10.85,11.09,9.70
1920,12.57,15.08,11.27,10.37,15.63,17.25,10.82,10.38,12.53,11.83,16.81,14.11,14.84,11.40,12.38,17.60,14.95,11.33,11.54,10.13
1921,12.86,15.29,11.61,10.84,15.76,17.01,11.20,10.77,12.74,12.13,17.00,14.28,15.11,11.85,12.65,17.72,15.11,11.80,11.99,10.55
1922,12.39,15.01,10.98,10.14,15.34,17.49,10.52,10.21,12.38,11.41,16.75,13.91,14.77,11.19,12.23,17.51,14.80,11.03,11.24,9.90
1923,12.60,15.12,11.31,10.42,15.47,17.63,10.90,10.46,12.49,11.87,16.92,14.04,14.92,11.41,12.37,17.59,14.90,11.56,11.73,10.32
1924,12.81,15.52,11.46,10.38,15.86,17.66,10.83,10.54,12.83,11.93,17.38,14.43,15.22,11.41,12.61,18.18,15.35,11.44,11.61,10.25
1925,12.01,14.60,10.61,9.88,14.84,17.51,10.24,9.86,11.88,11.14,16.54,13.35,14.41,10.92,11.75,17.02,14.25,10.83,11.02,9.60
1926,13.35,15.97,11.98,11.06,16.15,18.49,11.46,11.18,13.34,12.42,17.88,14.77,15.74,12.14,13.23,18.35,15.65,12.06,12.26,10.86
1927,12.88,15.38,11.66,10.47,15.95,18.21,10.98,10.67,12.92,12.18,17.20,14.48,15.12,11.53,12.81,17.92,15.31,11.68,11.81,10.43
1928,12.90,15.29,11.75,10.60,15.91,18.15,11.15,10.71,12.90,12.27,17.09,14.48,15.04,11.60,12.75,17.82,15.32,11.87,12.01,10.59
1929,12.83,15.39,11.42,10.61,15.44,17.83,11.01,10.74,12.84,11.81,17.24,14.21,15.24,11.71,12.80,17.70,15.07,11.53,11.75,10.35
1930,13.01,15.48,11.84,10.67,16.00,18.01,11.19,10.79,12.99,12.35,17.37,14.61,15.23,11.70,12.86,17.98,15.43,11.91,12.05,10.64
1931,12.62,15.18,11.31,10.27,15.58,17.98,10.68,10.41,12.68,11.71,17.14,14.28,14.91,11.32,12.50,17.67,15.15,11.31,11.48,10.09
1932,12.29,14.73,11.13,9.97,15.33,17.66,10.48,10.09,12.29,11.62,16.62,13.89,14.47,11.01,12.16,17.19,14.72,11.21,11.35,9.94
1933,12.72,15.24,11.48,10.38,15.65,17.92,10.84,10.49,12.73,11.89,17.20,14.35,14.97,11.44,12.53,17.73,15.18,11.52,11.68,10.29
1934,12.62,15.04,11.49,10.39,15.47,17.53,10.88,10.46,12.59,11.98,16.90,14.11,14.82,11.38,12.46,17.43,14.89,11.63,11.76,10.35
