Variable:,tas
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
1901,5.38,5.30,6.30,4.82,5.14,5.10,4.81,5.89,5.82,5.23,5.59,6.42,5.23,5.44,5.36,5.20,5.22
1902,3.00,2.84,4.08,2.35,2.67,2.64,2.31,3.60,3.53,2.85,3.19,4.25,2.82,3.12,2.99,2.91,2.78
1903,5.82,5.69,6.47,5.36,5.58,5.63,5.30,6.19,6.14,5.77,5.93,6.57,5.75,6.00,5.82,5.80,5.78
1904,4.14,4.03,5.19,3.53,3.86,3.79,3.48,4.66,4.63,3.97,4.34,5.34,3.95,4.24,4.15,4.05,3.93
1905,5.18,5.11,6.09,4.65,4.96,4.88,4.64,5.66,5.62,5.01,5.39,6.22,5.01,5.23,5.18,5.01,5.02
1906,5.75,5.64,6.60,5.26,5.53,5.47,5.22,6.20,6.16,5.63,5.94,6.72,5.63,5.85,5.76,5.63,5.61
1907,3.85,3.84,5.03,3.26,3.69,3.43,3.31,4.56,4.43,3.51,4.16,5.16,3.52,3.76,3.80,3.51,3.50
1908,4.48,4.45,5.52,3.85,4.31,4.09,3.93,5.09,5.02,4.20,4.77,5.63,4.22,4.43,4.45,4.18,4.20
1909,4.44,4.40,5.28,3.97,4.27,4.15,3.98,4.90,4.83,4.25,4.64,5.40,4.25,4.47,4.43,4.25,4.29
1910,6.10,6.00,6.99,5.56,5.88,5.80,5.56,6.59,6.52,5.96,6.28,7.12,5.95,6.19,6.11,5.97,5.91
1911,5.27,5.22,6.55,4.64,5.03,4.84,4.67,5.94,5.85,4.93,5.56,6.67,4.95,5.21,5.22,4.96,4.93
1912,4.40,4.36,5.53,3.76,4.22,4.04,3.83,5.02,4.92,4.15,4.67,5.63,4.16,4.36,4.39,4.12,4.12
1913,5.73,5.64,6.74,5.16,5.50,5.41,5.16,6.25,6.19,5.57,5.94,6.87,5.55,5.79,5.73,5.59,5.52
1914,5.82,5.76,6.92,5.25,5.60,5.48,5.26,6.39,6.30,5.58,6.05,7.03,5.59,5.80,5.79,5.57,5.59
1915,3.23,3.02,4.36,2.59,2.92,2.89,2.53,3.75,3.68,3.16,3.36,4.51,3.07,3.42,3.24,3.27,3.00
1916,4.72,4.66,5.52,4.25,4.54,4.45,4.24,5.12,5.10,4.58,4.90,5.64,4.53,4.77,4.71,4.60,4.57
1917,4.16,4.11,5.16,3.61,3.98,3.84,3.63,4.72,4.64,3.91,4.40,5.29,3.94,4.15,4.18,3.87,3.94
1918,4.93,4.84,5.95,4.33,4.72,4.60,4.37,5.50,5.37,4.81,5.12,6.08,4.79,4.99,4.90,4.78,4.73
1919,4.27,4.21,5.26,3.66,4.06,3.94,3.73,4.80,4.72,4.10,4.48,5.38,4.11,4.28,4.26,4.02,4.07
1920,6.06,6.04,6.76,5.72,5.91,5.86,5.67,6.41,6.40,5.90,6.23,6.86,5.93,6.00,6.04,5.78,6.00
1921,5.32,5.23,6.45,4.69,5.10,4.96,4.74,5.93,5.80,5.10,5.55,6.57,5.13,5.35,5.29,5.05,5.08
1922,4.20,4.16,5.05,3.73,4.01,3.91,3.73,4.64,4.62,3.99,4.42,5.19,4.00,4.19,4.20,3.95,4.03
1923,4.30,4.18,5.24,3.68,4.07,3.95,3.71,4.80,4.78,4.20,4.52,5.41,4.15,4.42,4.30,4.21,4.10
1924,5.08,5.08,5.81,4.68,4.94,4.84,4.68,5.51,5.49,4.81,5.33,5.92,4.88,5.00,5.07,4.72,4.98
