Variable:,tas
,Finland,Aaland,"Eastern Finland",Lapland,Oulu,"Southern Finland","Western Finland"
1901,1.50,5.44,2.57,-1.16,0.94,4.03,3.42
1902,-1.11,3.10,-0.14,-3.65,-1.78,1.42,0.80
1903,1.65,5.41,3.02,-1.41,1.23,4.41,3.62
1904,0.29,4.31,1.43,-2.29,-0.21,2.77,2.05
1905,1.26,5.23,2.51,-1.56,0.75,3.89,3.15
1906,1.67,5.68,2.96,-1.31,1.19,4.42,3.65
1907,0.78,4.39,1.41,-1.14,0.30,2.64,2.32
1908,0.94,4.78,1.88,-1.49,0.47,3.23,2.69
1909,0.91,4.41,2.13,-1.83,0.51,3.36,2.73
1910,1.93,5.95,3.24,-1.06,1.37,4.73,3.94
1911,1.58,5.77,2.56,-0.99,1.04,4.02,3.49
1912,0.10,4.78,1.34,-2.98,-0.58,3.03,2.34
1913,1.50,5.85,2.81,-1.59,0.93,4.36,3.66
1914,1.71,6.19,2.91,-1.23,1.06,4.49,3.85
1915,-1.09,3.24,-0.04,-3.68,-1.73,1.52,0.80
1916,0.87,4.71,2.09,-1.82,0.42,3.41,2.64
1917,0.16,4.30,1.46,-2.93,-0.27,2.90,2.26
1918,1.24,5.09,2.16,-1.22,0.75,3.56,3.07
1919,0.57,4.49,1.65,-2.13,0.11,3.01,2.48
1920,2.83,5.98,3.90,0.41,2.45,5.05,4.41
1921,1.49,5.68,2.60,-1.21,1.00,3.99,3.42
1922,0.87,4.30,1.93,-1.50,0.44,3.09,2.44
1923,0.74,4.34,1.65,-1.55,0.30,2.93,2.35
1924,1.73,5.12,2.84,-0.87,1.29,4.09,3.51
1925,1.71,5.50,2.89,-1.10,1.24,4.26,3.64
1926,0.38,4.61,1.39,-2.16,-0.12,2.83,2.19
1927,0.71,4.81,1.77,-1.97,0.14,3.28,2.64
1928,0.95,4.47,2.03,-1.56,0.48,3.35,2.67
1929,1.23,4.68,2.12,-1.14,0.86,3.32,2.94
1930,2.61,6.64,3.66,-0.17,2.08,5.14,4.68
1931,1.02,4.17,1.92,-1.14,0.70,3.01,2.47
1932,2.30,5.65,3.39,-0.26,1.96,4.57,4.01
1933,1.23,5.25,2.07,-1.15,0.63,3.52,3.13
1934,3.35,7.09,4.44,0.64,2.89,5.80,5.28
1935,1.94,5.78,3.01,-0.78,1.49,4.37,3.87
