Variable:,tas
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
1901,9.70,8.25,11.70,8.10,9.84,9.45,10.64,10.12,9.12,12.42,8.06,9.51,9.96,10.64,9.19,8.37,10.16,9.25,10.74,9.36,11.04,9.27,7.70,26.30,26.55,24.52,24.59,19.76,19.17,25.30,25.42,25.91,25.11
1902,9.80,8.38,11.89,8.27,9.70,9.54,10.60,10.08,9.07,12.75,8.26,9.34,9.83,10.97,9.31,8.39,10.41,8.94,10.66,9.18,11.08,9.64,8.05,26.38,26.60,24.19,24.84,19.88,19.30,25.05,25.17,25.69,24.84
1903,10.07,8.70,12.04,8.49,10.12,9.83,10.84,10.48,9.52,12.73,8.43,9.82,10.31,10.99,9.56,8.80,10.51,9.66,11.06,9.72,11.40,9.70,8.14,26.37,26.58,24.28,24.66,19.77,19.19,25.10,25.23,25.75,24.89
1904,10.42,9.18,12.43,8.94,10.18,10.24,10.88,10.71,9.81,13.31,8.99,9.92,10.50,11.57,9.94,9.14,10.96,9.64,11.21,9.85,11.66,10.36,8.76,25.95,26.17,23.84,24.61,19.78,19.20,24.76,24.89,25.44,24.55
1905,9.84,8.52,11.77,8.23,9.87,9.62,10.68,10.21,9.31,12.57,8.31,9.53,10.04,10.81,9.32,8.62,10.26,9.30,10.77,9.43,11.12,9.55,7.97,26.16,26.39,24.14,24.81,19.86,19.29,24.99,25.11,25.64,24.78
1906,10.24,8.69,12.15,8.68,10.40,10.00,11.07,10.71,9.75,12.68,8.54,10.16,10.59,11.15,9.73,8.97,10.64,9.91,11.29,10.03,11.53,9.78,8.25,25.93,26.18,24.00,24.64,19.81,19.22,24.92,25.04,25.57,24.71
1907,10.01,8.67,11.96,8.46,10.00,9.80,10.67,10.39,9.48,12.73,8.44,9.75,10.22,11.00,9.51,8.77,10.45,9.50,10.96,9.64,11.27,9.73,8.15,25.78,26.02,23.73,24.62,19.78,19.19,24.71,24.84,25.40,24.50
1908,9.87,8.31,12.00,8.23,9.98,9.50,10.91,10.18,9.11,12.58,8.13,9.67,9.97,10.96,9.27,8.42,10.45,9.23,10.91,9.39,11.21,9.54,7.93,25.99,26.23,23.89,24.84,19.90,19.33,24.82,24.95,25.49,24.61
1909,9.53,8.12,11.51,7.92,9.64,9.26,10.40,9.91,8.94,12.38,7.94,9.34,9.75,10.49,8.98,8.23,9.97,9.03,10.55,9.17,10.82,9.17,7.58,26.13,26.34,23.79,24.68,19.79,19.21,24.77,24.90,25.44,24.56
1910,10.16,8.86,11.93,8.51,10.41,9.96,10.96,10.67,9.78,12.58,8.57,10.20,10.59,10.94,9.60,9.03,10.41,10.06,11.27,10.10,11.44,9.63,8.08,26.03,26.27,23.80,24.56,19.72,19.14,24.75,24.88,25.44,24.54
1911,11.00,9.86,12.64,9.42,11.19,10.92,11.71,11.58,10.67,13.35,9.50,10.96,11.44,11.70,10.55,9.96,11.14,10.77,12.14,10.87,12.33,10.52,9.01,25.20,25.54,23.82,24.62,19.74,19.16,24.81,24.94,25.49,24.60
1912,10.14,8.76,11.98,8.48,10.42,9.95,11.03,10.67,9.75,12.57,8.46,10.18,10.57,10.91,9.60,8.99,10.43,9.94,11.30,10.05,11.47,9.57,8.03,25.65,25.98,24.09,24.93,19.97,19.40,24.99,25.12,25.66,24.78
1913,10.61,9.25,12.47,8.95,10.86,10.42,11.42,11.15,10.19,12.93,8.94,10.64,11.02,11.41,10.09,9.44,10.92,10.40,11.77,10.49,11.98,10.01,8.49,25.18,25.51,23.53,24.89,19.82,19.23,24.58,24.71,25.27,24.37
1914,10.26,8.90,12.04,8.54,10.63,10.04,11.28,10.77,9.86,12.67,8.59,10.44,10.72,11.00,9.65,9.10,10.50,10.29,11.45,10.29,11.56,9.62,8.08,25.31,25.63,23.83,24.99,19.86,19.29,24.76,24.89,25.42,24.55
1915,10.11,8.83,12.00,8.49,10.21,9.95,10.82,10.61,9.69,12.68,8.58,9.96,10.46,10.96,9.60,8.96,10.46,9.69,11.17,9.86,11.43,9.61,8.07,25.75,26.03,24.34,25.02,19.87,19.30,25.13,25.26,25.76,24.93
1916,10.35,9.21,12.21,8.74,10.42,10.20,11.00,10.84,9.94,13.02,8.85,10.21,10.68,11.19,9.85,9.25,10.67,10.00,11.37,10.13,11.66,9.93,8.37,25.44,25.65,23.92,24.65,19.70,19.11,24.81,24.93,25.45,24.60
1917,9.47,8.25,11.42,7.84,9.49,9.27,10.20,9.84,8.95,12.48,7.98,9.24,9.68,10.38,8.93,8.28,9.88,9.05,10.42,9.15,10.74,9.14,7.55,25.23,25.40,23.83,24.60,19.66,19.06,24.82,24.95,25.49,24.61
1918,10.36,9.29,12.05,8.73,10.60,10.27,11.22,10.92,10.02,12.70,8.89,10.37,10.79,10.95,9.87,9.35,10.45,10.15,11.52,10.25,11.73,9.80,8.35,25.39,25.60,23.90,24.77,19.76,19.18,24.88,25.00,25.53,24.67
1919,9.80,8.49,11.70,8.34,9.81,9.65,10.52,10.26,9.23,12.54,8.34,9.50,10.05,10.70,9.41,8.53,10.17,9.09,10.82,9.35,11.16,9.46,7.92,25.59,25.83,23.90,24.92,19.82,19.25,24.83,24.96,25.50,24.62
1920,10.68,9.69,12.32,9.10,10.68,10.61,11.28,11.09,10.26,13.65,9.40,10.42,10.92,11.45,10.16,9.67,10.82,10.20,11.67,10.32,11.96,10.53,8.97,25.52,25.74,23.78,24.76,19.75,19.16,24.72,24.85,25.40,24.50
1921,11.20,10.04,12.83,9.58,11.51,11.09,12.22,11.76,10.81,13.53,9.65,11.26,11.62,11.88,10.67,10.13,11.31,10.93,12.40,11.05,12.57,10.69,9.18,25.42,25.62,23.85,24.70,19.73,19.13,24.83,24.96,25.50,24.62
1922,9.84,8.50,11.86,8.28,9.85,9.62,10.59,10.23,9.23,12.78,8.22,9.57,10.04,10.86,9.33,8.54,10.34,9.21,10.82,9.41,11.16,9.49,7.90,25.41,25.60,23.73,24.54,19.65,19.04,24.70,24.83,25.39,24.49
1923,10.59,9.34,12.53,9.09,10.48,10.46,11.14,11.01,10.05,13.38,9.11,10.20,10.81,11.62,10.13,9.34,11.05,9.80,11.55,10.08,11.90,10.29,8.73,25.47,25.67,24.03,25.11,19.92,19.35,24.90,25.02,25.55,24.69
