Variable:,tas
,Greece,"Anatoliki Makedonia Kai Thraki",Attiki,"Dytiki Ellada","Dytiki Makedonia","Ionioi Nisoi",Ipeiros,"Kentriki Makedonia",Kriti,Peloponnisos,"Sterea Ellada",Thessalia,"Voreio Aigaio","Notio Aigaio"
1901,13.32,12.10,16.30,14.48,10.37,15.72,12.30,12.93,16.35,14.48,13.86,12.95,15.65,17.51
1902,13.13,11.60,16.20,14.42,10.26,15.72,12.25,12.65,16.01,14.41,13.74,12.84,15.15,17.13
1903,13.37,12.31,16.29,14.47,10.59,15.75,12.41,13.16,15.57,14.37,13.93,13.08,15.65,16.96
1904,13.28,11.92,16.24,14.47,10.56,15.78,12.40,12.98,15.66,14.37,13.86,13.01,15.31,16.94
1905,13.23,12.07,16.17,14.33,10.42,15.60,12.23,12.95,15.91,14.28,13.77,12.89,15.54,17.17
1906,13.17,12.17,16.06,14.22,10.34,15.45,12.13,12.96,15.84,14.14,13.68,12.82,15.58,17.15
1907,12.93,11.60,15.88,14.09,10.21,15.39,12.03,12.63,15.45,13.99,13.50,12.65,15.02,16.72
1908,12.82,11.43,15.82,14.02,9.99,15.28,11.90,12.43,15.61,13.97,13.40,12.52,14.91,16.77
1909,13.22,12.06,16.14,14.26,10.39,15.49,12.17,12.96,16.26,14.22,13.75,12.87,15.60,17.50
1910,13.41,12.49,16.28,14.42,10.68,15.64,12.39,13.30,15.68,14.28,13.94,13.12,15.79,17.10
1911,13.28,11.92,16.16,14.45,10.63,15.75,12.43,13.04,15.65,14.31,13.83,13.02,15.23,16.89
1912,12.94,11.47,15.94,14.16,10.15,15.45,12.03,12.54,15.84,14.13,13.52,12.63,15.04,16.98
1913,13.10,11.65,16.03,14.37,10.35,15.70,12.28,12.67,15.75,14.30,13.66,12.81,15.04,16.87
1914,12.78,11.49,15.68,13.92,9.99,15.23,11.83,12.46,15.78,13.85,13.30,12.44,14.99,16.93
1915,13.60,12.41,16.56,14.69,10.77,15.92,12.59,13.29,16.52,14.62,14.16,13.28,15.94,17.78
1916,14.14,12.89,17.12,15.25,11.31,16.46,13.11,13.82,17.03,15.23,14.69,13.81,16.44,18.26
1917,13.45,12.12,16.44,14.59,10.62,15.84,12.47,13.11,16.35,14.56,14.02,13.12,15.68,17.59
1918,13.33,12.20,16.26,14.39,10.48,15.65,12.27,13.04,16.33,14.37,13.84,12.95,15.69,17.53
1919,13.41,12.08,16.41,14.53,10.56,15.74,12.38,13.05,16.50,14.53,13.99,13.09,15.70,17.66
1920,13.31,11.65,16.24,14.60,10.60,15.96,12.54,12.88,16.05,14.50,13.89,13.04,15.18,17.13
1921,13.14,11.77,16.01,14.31,10.47,15.66,12.28,12.85,15.76,14.18,13.67,12.84,15.13,16.92
1922,13.44,11.90,16.49,14.69,10.56,15.96,12.48,12.93,16.61,14.71,14.03,13.09,15.63,17.71
1923,14.07,13.01,16.94,15.09,11.29,16.31,13.04,13.90,16.68,15.00,14.60,13.75,16.44,18.04
1924,13.26,11.67,16.24,14.56,10.39,15.86,12.39,12.76,16.37,14.55,13.84,12.94,15.27,17.37
1925,13.61,12.40,16.56,14.74,10.77,15.96,12.60,13.27,16.54,14.70,14.16,13.27,15.90,17.74
1926,14.03,12.76,16.99,15.15,11.24,16.38,13.04,13.74,16.86,15.09,14.60,13.72,16.33,18.09
1927,14.37,12.98,17.36,15.54,11.58,16.77,13.41,14.01,17.24,15.48,14.97,14.08,16.60,18.41
1928,13.65,12.10,16.59,14.90,10.87,16.22,12.78,13.21,16.65,14.84,14.22,13.35,15.66,17.71
1929,12.99,11.64,15.96,14.14,10.18,15.44,12.02,12.63,16.02,14.10,13.55,12.67,15.24,17.23
1930,13.93,12.79,16.85,14.93,11.16,16.20,12.90,13.71,16.80,14.90,14.43,13.61,16.21,18.08
1931,13.50,12.12,16.51,14.71,10.63,15.98,12.51,13.06,16.56,14.69,14.09,13.16,15.72,17.72
1932,13.33,11.94,16.34,14.54,10.47,15.81,12.36,12.92,16.35,14.52,13.91,12.99,15.57,17.53
1933,12.41,10.90,15.35,13.68,9.59,15.02,11.54,11.94,15.47,13.63,12.95,12.06,14.48,16.51
1934,14.02,12.75,16.87,15.13,11.31,16.42,13.12,13.79,16.73,15.02,14.54,13.71,16.13,17.95
1935,13.57,12.22,16.57,14.73,10.74,16.00,12.60,13.17,16.62,14.71,14.13,13.22,15.83,17.82
1936,13.73,12.54,16.60,14.82,10.98,16.10,12.80,13.49,16.56,14.72,14.24,13.39,15.92,17.77
1937,14.14,12.99,17.13,15.23,11.29,16.47,13.11,13.84,17.06,15.19,14.70,13.79,16.52,18.35
1938,13.53,12.36,16.48,14.61,10.70,15.86,12.52,13.24,16.43,14.58,14.07,13.18,15.87,17.67
1939,13.75,12.51,16.76,14.86,10.89,16.10,12.72,13.40,16.81,14.85,14.30,13.37,16.12,18.04
1940,12.63,11.33,15.80,13.81,9.59,15.02,11.52,12.10,16.05,13.89,13.26,12.24,15.17,17.24
1941,13.05,11.66,16.09,14.22,10.14,15.48,12.05,12.61,16.27,14.23,13.63,12.69,15.40,17.42
1942,13.07,11.57,16.09,14.32,10.21,15.67,12.18,12.58,16.18,14.30,13.66,12.75,15.24,17.32
1943,13.52,12.05,16.39,14.74,10.78,16.11,12.68,13.15,16.29,14.66,14.06,13.23,15.47,17.40
1944,13.27,12.01,16.23,14.39,10.44,15.64,12.28,12.94,16.25,14.35,13.81,12.93,15.59,17.49
1945,13.54,12.13,16.47,14.72,10.76,16.06,12.67,13.20,16.33,14.63,14.12,13.25,15.68,17.55
1946,14.03,12.73,16.93,15.13,11.25,16.41,13.06,13.77,16.86,15.05,14.59,13.74,16.26,18.12
1947,14.06,12.68,16.99,15.23,11.24,16.54,13.15,13.72,16.92,15.16,14.64,13.77,16.35,18.25
1948,13.08,11.75,15.84,14.21,10.38,15.60,12.24,12.84,15.76,14.03,13.59,12.82,15.14,16.99
1949,13.01,11.70,15.78,14.15,10.29,15.56,12.18,12.76,15.66,14.00,13.52,12.73,15.05,16.84
1950,14.14,12.95,16.83,15.22,11.47,16.58,13.29,13.98,16.61,14.97,14.66,13.93,16.12,17.81
1951,14.10,12.74,16.96,15.28,11.41,16.63,13.26,13.78,16.80,15.13,14.65,13.84,16.08,17.99
1952,14.42,13.09,17.33,15.61,11.65,16.88,13.49,14.08,17.13,15.48,15.00,14.14,16.57,18.44
1953,12.97,11.48,15.89,14.17,10.25,15.54,12.16,12.60,15.85,14.05,13.53,12.68,14.96,16.95
1954,13.28,11.89,16.34,14.48,10.40,15.73,12.30,12.84,16.27,14.48,13.88,12.93,15.58,17.62
1955,13.99,12.69,17.08,15.16,11.05,16.36,12.92,13.55,17.12,15.21,14.60,13.60,16.40,18.42
1956,13.02,11.49,16.10,14.24,10.18,15.51,12.07,12.56,16.13,14.24,13.63,12.70,15.23,17.32
1957,13.61,12.26,16.54,14.78,10.84,16.10,12.70,13.24,16.46,14.70,14.17,13.31,15.83,17.79
1958,13.92,12.59,16.91,15.10,11.09,16.36,12.95,13.55,16.86,15.06,14.49,13.59,16.14,18.09
1959,13.05,11.60,16.04,14.26,10.26,15.56,12.14,12.62,16.01,14.21,13.62,12.74,15.10,17.14
1960,14.09,12.76,17.13,15.25,11.22,16.50,13.09,13.66,17.16,15.26,14.66,13.73,16.34,18.36
1961,13.93,12.53,16.91,15.12,11.16,16.40,13.02,13.57,16.67,15.06,14.51,13.62,15.96,17.95
1962,14.07,12.68,17.22,15.23,11.11,16.42,13.05,13.61,17.12,15.34,14.70,13.71,16.49,18.50
1963,13.98,12.35,17.13,15.23,11.10,16.41,13.05,13.47,17.00,15.29,14.64,13.67,16.12,18.22
1964,13.29,11.77,16.26,14.57,10.50,15.84,12.43,12.84,16.27,14.45,13.86,13.01,15.23,17.33
1965,13.28,11.83,16.33,14.52,10.41,15.74,12.35,12.83,16.31,14.48,13.89,12.95,15.52,17.55
1966,14.23,13.24,17.20,15.28,11.27,16.43,13.09,13.91,17.15,15.31,14.78,13.88,16.73,18.56
1967,13.45,12.04,16.43,14.65,10.67,15.93,12.52,13.06,16.32,14.60,14.02,13.16,15.53,17.48
1968,13.64,12.33,16.62,14.81,10.78,16.00,12.64,13.26,16.63,14.77,14.21,13.34,15.89,17.87
