Variable:,tas
,Croatia,Bjelovar-bilogora,Dubrovnik-neretva,"Grad Zagreb",Istra,Karlovac,Koprivnica-krizevci,Krapina-zagorje,Lika-senj,Medimurje,Osijek-baranja,Pozega-slavonija,"Primorje-gorski Kota",Sibenik,Sisak-moslavina,"Slavonski Brod-posav",Split-dalmatija,Varazdin,Virovitica-podravina,Vukovar-srijem,Zadar-knin,Zagreb
1901,9.87,9.67,12.70,9.59,11.59,8.84,9.69,9.23,8.04,9.59,10.63,9.98,9.18,11.11,9.64,10.12,11.37,9.53,9.99,10.86,10.41,9.58
1902,9.83,9.60,12.73,9.62,11.64,8.87,9.36,9.12,8.10,9.25,10.34,9.82,9.17,11.23,9.71,9.96,11.46,9.27,9.83,10.54,10.50,9.61
1903,10.43,10.26,13.21,10.15,12.08,9.35,10.15,9.74,8.62,10.04,11.22,10.55,9.65,11.69,10.24,10.70,11.89,10.00,10.57,11.46,11.01,10.15
1904,10.67,10.44,13.39,10.47,12.50,9.70,10.39,10.08,8.93,10.31,11.27,10.67,10.06,11.98,10.50,10.81,12.14,10.31,10.67,11.48,11.31,10.46
1905,10.21,10.05,12.96,9.99,11.91,9.15,10.03,9.61,8.38,9.93,10.92,10.30,9.47,11.47,10.04,10.44,11.68,9.90,10.31,11.14,10.78,9.99
1906,10.11,9.92,12.83,9.85,11.85,9.06,9.94,9.50,8.26,9.85,10.90,10.19,9.41,11.32,9.87,10.34,11.53,9.80,10.23,11.14,10.64,9.84
1907,10.14,9.93,12.91,9.92,11.88,9.15,9.88,9.55,8.37,9.81,10.79,10.20,9.47,11.42,9.97,10.34,11.62,9.80,10.20,10.99,10.75,9.91
1908,9.67,9.45,12.48,9.46,11.50,8.71,9.43,9.10,7.88,9.35,10.29,9.68,9.06,10.96,9.48,9.82,11.18,9.34,9.70,10.48,10.26,9.45
1909,9.93,9.76,12.77,9.57,11.51,8.84,9.69,9.22,8.09,9.55,10.77,10.09,9.14,11.18,9.71,10.24,11.43,9.49,10.12,11.02,10.48,9.58
1910,10.63,10.51,13.35,10.30,12.15,9.54,10.41,9.93,8.79,10.27,11.54,10.85,9.80,11.81,10.46,11.00,12.03,10.21,10.88,11.79,11.16,10.31
1911,10.83,10.62,13.54,10.61,12.59,9.83,10.65,10.27,9.02,10.58,11.52,10.89,10.19,12.04,10.60,11.04,12.27,10.56,10.91,11.75,11.39,10.60
1912,9.86,9.55,12.70,9.70,11.69,8.92,9.59,9.36,8.10,9.57,10.39,9.81,9.28,11.21,9.65,9.96,11.43,9.59,9.82,10.61,10.50,9.67
1913,10.18,9.92,13.02,10.02,11.95,9.21,9.96,9.68,8.35,9.92,10.77,10.17,9.54,11.52,9.97,10.31,11.77,9.93,10.18,10.97,10.76,10.00
1914,9.80,9.46,12.53,9.63,11.73,8.89,9.52,9.27,8.07,9.49,10.33,9.72,9.25,11.10,9.59,9.89,11.32,9.50,9.70,10.51,10.43,9.61
1915,10.15,9.88,13.01,9.84,11.83,9.06,9.96,9.54,8.28,9.88,10.96,10.29,9.45,11.40,9.84,10.48,11.72,9.84,10.28,11.20,10.67,9.83
1916,10.98,10.84,13.65,10.77,12.68,9.95,10.89,10.49,9.13,10.83,11.66,11.01,10.31,12.24,10.75,11.18,12.44,10.80,11.05,11.90,11.52,10.77
