Variable:,tas
,Hungary,Bacs-kiskun,Baranya,Bekes,Borsod-abauj-zemplen,Budapest,Csongrad,Fejer,Gyor-moson-sopron,Hajdu-bihar,Heves,Jasz-nagykun-szolnok,Komarom-esztergom,Nograd,Pest,Somogy,Szabolcs-szatmar-bereg,Tolna,Vas,Veszprem,Zala
1901,9.94,10.56,10.24,10.52,9.30,10.24,10.65,10.17,9.37,10.14,9.58,10.33,9.55,9.12,10.13,9.83,9.73,10.35,9.13,9.30,9.46
1902,9.31,10.05,9.92,9.93,8.30,9.62,10.14,9.58,8.92,9.17,8.82,9.61,8.95,8.42,9.47,9.42,8.70,9.88,8.72,8.82,9.04
1903,10.40,11.09,10.79,11.11,9.62,10.72,11.25,10.64,9.85,10.48,10.06,10.84,10.03,9.62,10.60,10.26,10.04,10.88,9.63,9.77,9.88
1904,10.34,11.08,10.86,10.84,9.28,10.72,11.13,10.70,10.06,10.07,9.94,10.64,10.11,9.57,10.56,10.45,9.58,10.92,9.87,9.97,10.13
1905,10.11,10.78,10.52,10.68,9.24,10.45,10.87,10.38,9.75,10.07,9.75,10.47,9.82,9.33,10.31,10.12,9.63,10.58,9.50,9.63,9.78
1906,10.19,10.84,10.50,10.84,9.42,10.52,11.00,10.46,9.74,10.28,9.83,10.62,9.90,9.43,10.39,10.07,9.83,10.64,9.47,9.62,9.70
1907,9.87,10.60,10.41,10.41,8.85,10.20,10.69,10.18,9.62,9.69,9.42,10.18,9.60,9.02,10.04,9.97,9.19,10.42,9.41,9.51,9.62
1908,9.52,10.16,9.91,10.11,8.67,9.83,10.29,9.76,9.20,9.53,9.08,9.88,9.22,8.70,9.68,9.53,9.08,9.97,8.96,9.06,9.18
1909,9.91,10.66,10.34,10.61,9.05,10.23,10.80,10.19,9.36,9.94,9.50,10.34,9.53,9.07,10.10,9.82,9.49,10.44,9.15,9.31,9.44
1910,10.74,11.42,11.09,11.46,10.03,11.01,11.59,10.94,10.10,10.96,10.35,11.16,10.30,9.91,10.89,10.54,10.52,11.20,9.88,10.04,10.15
1911,10.74,11.39,11.13,11.26,9.90,11.05,11.48,11.02,10.37,10.72,10.35,11.10,10.46,9.97,10.93,10.75,10.26,11.21,10.15,10.27,10.41
1912,9.55,10.19,10.00,10.06,8.66,9.85,10.29,9.81,9.21,9.50,9.12,9.88,9.25,8.74,9.71,9.64,9.05,10.01,9.05,9.14,9.33
1913,10.03,10.61,10.40,10.56,9.28,10.30,10.67,10.25,9.67,10.11,9.63,10.34,9.71,9.25,10.18,10.04,9.69,10.44,9.48,9.57,9.70
1914,9.64,10.16,9.95,10.19,8.99,9.95,10.22,9.83,9.29,9.78,9.31,9.96,9.37,8.94,9.82,9.59,9.37,9.99,9.05,9.14,9.28
1915,10.17,10.80,10.55,10.84,9.41,10.48,10.98,10.35,9.65,10.30,9.80,10.61,9.73,9.31,10.32,10.09,9.84,10.60,9.44,9.57,9.74
1916,10.93,11.54,11.29,11.54,10.11,11.24,11.70,11.18,10.51,10.96,10.53,11.33,10.62,10.07,11.08,10.96,10.52,11.35,10.34,10.45,10.63
1917,10.00,10.61,10.35,10.61,9.20,10.30,10.80,10.24,9.57,10.06,9.60,10.41,9.69,9.13,10.14,10.02,9.61,10.41,9.36,9.50,9.68
1918,10.46,10.99,10.68,10.95,9.75,10.80,11.03,10.72,10.12,10.52,10.22,10.80,10.25,9.75,10.66,10.40,10.12,10.83,9.89,10.00,10.10
1919,9.77,10.42,10.15,10.38,8.90,10.00,10.59,9.98,9.36,9.81,9.31,10.18,9.43,8.83,9.88,9.82,9.32,10.16,9.18,9.30,9.49
1920,10.53,11.14,10.93,10.94,9.62,10.85,11.16,10.85,10.29,10.40,10.13,10.81,10.31,9.71,10.70,10.67,9.97,10.99,10.11,10.18,10.38
1921,10.68,11.26,11.06,11.14,9.84,10.98,11.31,10.97,10.42,10.62,10.29,10.98,10.43,9.85,10.83,10.80,10.18,11.12,10.21,10.32,10.50
1922,9.51,10.18,10.06,9.99,8.50,9.78,10.24,9.79,9.25,9.39,8.98,9.79,9.22,8.58,9.63,9.71,8.94,10.02,9.10,9.17,9.37
1923,10.87,11.62,11.33,11.61,10.04,11.19,11.77,11.08,10.21,11.09,10.45,11.33,10.36,9.93,11.04,10.74,10.61,11.38,10.01,10.16,10.29
1924,9.57,10.14,9.93,10.15,8.78,9.82,10.28,9.81,9.16,9.67,9.09,9.89,9.25,8.69,9.69,9.60,9.24,9.97,8.99,9.09,9.28
1925,10.35,10.90,10.59,11.04,9.73,10.59,11.05,10.51,9.80,10.64,9.97,10.75,9.95,9.54,10.48,10.19,10.24,10.70,9.60,9.72,9.85
1926,10.98,11.59,11.27,11.62,10.21,11.29,11.73,11.23,10.50,11.11,10.60,11.39,10.66,10.20,11.16,10.89,10.66,11.40,10.30,10.42,10.54
1927,10.76,11.49,11.25,11.43,9.86,11.06,11.66,11.00,10.19,10.82,10.31,11.20,10.29,9.84,10.91,10.71,10.35,11.28,10.03,10.15,10.32
1928,10.48,11.16,10.95,10.95,9.51,10.83,11.23,10.79,10.21,10.31,10.09,10.83,10.23,9.70,10.69,10.57,9.84,10.99,9.98,10.09,10.24
1929,9.72,10.36,10.16,10.19,8.78,10.04,10.44,10.05,9.46,9.63,9.26,10.01,9.50,8.88,9.90,9.85,9.14,10.20,9.25,9.36,9.54
1930,11.10,11.81,11.49,11.75,10.35,11.39,11.91,11.33,10.50,11.28,10.71,11.49,10.67,10.22,11.26,11.01,10.83,11.59,10.32,10.45,10.61
1931,9.89,10.53,10.21,10.51,9.14,10.17,10.67,10.11,9.40,9.99,9.60,10.35,9.54,9.02,10.05,9.82,9.55,10.29,9.21,9.33,9.48
1932,10.15,10.71,10.55,10.55,9.42,10.49,10.61,10.40,9.86,10.14,9.87,10.43,9.94,9.40,10.35,10.21,9.76,10.58,9.64,9.73,9.87
1933,9.21,9.87,9.71,9.61,8.26,9.53,9.85,9.54,8.99,9.04,8.84,9.50,9.01,8.40,9.40,9.37,8.57,9.72,8.76,8.87,9.03
1934,11.69,12.30,11.92,12.25,10.98,12.02,12.36,11.92,11.29,11.79,11.48,12.12,11.43,10.92,11.89,11.58,11.37,12.11,11.02,11.15,11.23
1935,10.33,10.98,10.69,10.83,9.48,10.65,11.02,10.61,9.93,10.30,10.04,10.74,10.06,9.50,10.52,10.34,9.85,10.79,9.73,9.85,10.00
1936,10.75,11.35,11.05,11.37,10.02,11.02,11.48,10.95,10.20,10.89,10.44,11.20,10.36,9.83,10.89,10.69,10.51,11.13,10.05,10.17,10.35
1937,10.78,11.39,11.01,11.42,10.09,11.10,11.55,10.95,10.27,10.93,10.57,11.28,10.46,10.00,10.98,10.63,10.52,11.14,10.03,10.16,10.28
1938,10.59,11.14,10.80,11.17,9.93,10.88,11.26,10.75,10.15,10.73,10.36,11.04,10.26,9.77,10.76,10.50,10.35,10.93,9.92,10.04,10.15
1939,10.61,11.19,10.89,11.24,9.90,10.95,11.28,10.81,10.03,10.77,10.33,11.05,10.24,9.79,10.81,10.52,10.38,10.99,9.88,10.03,10.18
1940,8.32,8.96,8.82,8.84,7.32,8.57,9.05,8.56,8.06,8.21,7.88,8.63,8.04,7.42,8.44,8.51,7.72,8.74,7.88,7.97,8.19
