Variable:,tas
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
1901,11.56,10.80,13.15,14.51,13.33,11.09,8.82,12.65,11.04,8.74,11.94,12.30,8.24,14.75,14.54,15.52,12.29,3.44,11.46,0.80,12.15
1902,11.80,11.04,13.25,14.65,13.50,11.41,8.98,12.89,11.34,9.01,12.21,12.50,8.56,14.84,14.85,15.67,12.61,3.69,11.71,1.13,12.46
1903,11.86,11.30,13.34,14.50,13.54,11.53,9.29,13.06,11.47,9.16,12.43,12.69,8.68,15.00,14.50,15.33,12.70,3.94,11.91,1.22,12.63
1904,12.31,11.68,13.54,14.69,13.85,12.10,9.69,13.49,12.11,9.79,12.86,13.04,9.34,15.20,15.04,15.61,13.24,4.43,12.38,1.89,13.17
1905,11.70,11.08,13.15,14.40,13.37,11.35,9.16,12.85,11.28,8.98,12.21,12.53,8.51,14.81,14.49,15.29,12.49,3.69,11.67,1.08,12.46
1906,11.70,10.97,13.01,14.22,13.23,11.48,9.03,12.83,11.51,9.20,12.18,12.35,8.76,14.67,14.43,15.14,12.58,3.74,11.72,1.34,12.53
1907,11.73,11.07,13.12,14.25,13.35,11.46,9.08,12.91,11.47,9.14,12.22,12.48,8.69,14.76,14.52,15.15,12.61,3.77,11.78,1.24,12.52
1908,11.50,10.70,12.84,14.17,13.09,11.17,8.69,12.58,11.23,8.84,11.89,12.10,8.44,14.43,14.56,15.21,12.36,3.43,11.46,0.99,12.22
1909,11.43,10.81,12.97,14.32,13.19,10.98,8.59,12.64,10.96,8.65,11.87,12.23,8.17,14.61,14.37,15.21,12.18,3.21,11.45,0.72,12.04
1910,11.79,11.27,13.28,14.36,13.47,11.48,9.25,13.00,11.42,9.20,12.32,12.66,8.66,14.97,14.42,15.16,12.57,3.84,11.85,1.22,12.64
1911,12.37,11.66,13.58,14.72,13.88,12.12,9.81,13.48,12.24,9.89,12.86,13.05,9.50,15.27,15.17,15.75,13.21,4.53,12.39,2.07,13.18
1912,11.63,10.90,12.99,14.37,13.26,11.24,8.89,12.75,11.26,8.93,12.06,12.34,8.51,14.66,14.58,15.44,12.42,3.59,11.59,1.09,12.31
1913,11.99,11.28,13.41,14.68,13.70,11.55,9.18,13.12,11.66,9.28,12.37,12.80,8.92,15.08,15.00,15.78,12.74,3.91,11.90,1.51,12.59
1914,11.70,10.94,12.84,14.19,13.16,11.44,9.07,12.82,11.35,9.11,12.17,12.31,8.60,14.48,14.76,15.33,12.57,3.81,11.67,1.17,12.51
1915,11.79,11.04,13.31,14.67,13.51,11.33,9.06,12.92,11.37,9.06,12.17,12.54,8.61,14.97,14.72,15.56,12.50,3.66,11.74,1.18,12.40
1916,12.31,11.78,13.92,15.23,14.18,11.82,9.79,13.55,11.68,9.43,12.89,13.30,8.90,15.63,14.99,16.06,13.03,4.22,12.36,1.47,12.98
1917,11.63,11.10,13.29,14.64,13.53,11.11,8.88,12.90,10.96,8.65,12.20,12.60,8.14,14.94,14.46,15.59,12.41,3.36,11.70,0.68,12.21
