Variable:,tas
,Luxembourg,Diekirch,Grevenmacher,Luxembourg
1901,8.09,7.88,8.25,8.18
1902,7.93,7.67,8.10,8.03
1903,8.56,8.36,8.73,8.65
1904,8.72,8.48,8.89,8.81
1905,8.28,8.06,8.45,8.37
1906,8.75,8.53,8.91,8.84
1907,8.42,8.20,8.59,8.52
1908,8.01,7.80,8.18,8.11
1909,7.94,7.71,8.11,8.03
1910,8.85,8.65,9.01,8.93
1911,9.67,9.46,9.84,9.77
1912,8.75,8.54,8.91,8.84
1913,9.18,8.98,9.34,9.27
1914,8.94,8.78,9.09,9.02
1915,8.67,8.44,8.84,8.77
1916,8.98,8.75,9.15,9.07
1917,7.97,7.76,8.13,8.06
1918,9.04,8.84,9.19,9.13
1919,8.10,7.85,8.27,8.20
1920,9.14,8.92,9.31,9.24
1921,9.74,9.53,9.90,9.84
1922,8.07,7.85,8.24,8.17
1923,8.84,8.59,9.01,8.95
1924,8.33,8.11,8.50,8.43
1925,8.74,8.53,8.90,8.82
1926,9.22,9.00,9.39,9.32
1927,8.69,8.44,8.87,8.79
1928,9.19,8.94,9.35,9.29
1929,8.45,8.19,8.63,8.56
1930,9.37,9.14,9.53,9.46
1931,8.28,8.10,8.42,8.37
1932,8.78,8.61,8.93,8.87
1933,8.51,8.32,8.66,8.59
1934,9.72,9.52,9.87,9.81
1935,9.07,8.88,9.23,9.16
1936,8.99,8.77,9.16,9.09
1937,9.23,9.01,9.40,9.33
1938,9.10,8.91,9.25,9.18
1939,8.97,8.78,9.12,9.05
1940,7.83,7.60,7.99,7.92
1941,8.21,8.00,8.37,8.31
1942,8.29,8.04,8.47,8.40
1943,9.53,9.29,9.71,9.64
1944,8.80,8.62,8.93,8.88
1945,9.62,9.40,9.78,9.71
1946,8.90,8.66,9.07,9.00
1947,9.75,9.48,9.93,9.86
1948,9.63,9.39,9.80,9.73
1949,9.93,9.70,10.09,10.03
1950,9.29,9.03,9.47,9.40
1951,9.06,8.82,9.23,9.16
1952,8.65,8.39,8.83,8.76
1953,9.17,8.93,9.34,9.27
1954,8.37,8.14,8.55,8.48
1955,8.24,7.99,8.41,8.34
1956,7.79,7.54,7.97,7.90
1957,9.18,8.93,9.35,9.28
1958,8.84,8.58,9.01,8.95
1959,9.77,9.52,9.94,9.87
1960,9.03,8.79,9.20,9.14
1961,9.51,9.24,9.69,9.62
1962,7.72,7.47,7.89,7.83
1963,7.52,7.26,7.71,7.63
1964,8.83,8.56,9.03,8.94
1965,8.14,7.90,8.31,8.24
1966,9.05,8.78,9.23,9.16
1967,9.14,8.90,9.31,9.24
1968,8.49,8.26,8.65,8.59
1969,8.58,8.36,8.73,8.67
1970,8.56,8.33,8.72,8.66
1971,8.96,8.72,9.13,9.06
1972,8.42,8.17,8.59,8.52
1973,8.89,8.66,9.04,8.99
1974,9.32,9.07,9.50,9.43
1975,9.25,9.01,9.42,9.35
1976,9.45,9.21,9.61,9.55
1977,9.18,8.93,9.35,9.28
1978,8.32,8.08,8.48,8.42
1979,8.50,8.21,8.69,8.61
1980,8.33,8.10,8.48,8.42
1981,8.85,8.58,9.03,8.96
1982,9.48,9.24,9.65,9.58
1983,9.53,9.28,9.70,9.63
1984,8.66,8.43,8.82,8.76
1985,8.06,7.79,8.24,8.16
1986,8.51,8.24,8.70,8.61
1987,8.25,8.00,8.42,8.35
1988,9.64,9.40,9.81,9.74
1989,10.03,9.79,10.20,10.12
1990,10.08,9.85,10.25,10.18
1991,9.10,8.84,9.28,9.20
1992,9.82,9.57,10.00,9.92
1993,9.30,9.04,9.49,9.41
1994,10.47,10.19,10.66,10.58
1995,9.87,9.65,10.02,9.97
1996,8.19,7.94,8.36,8.29
1997,9.71,9.46,9.89,9.82
1998,9.65,9.41,9.82,9.75
1999,10.21,9.98,10.36,10.30
2000,10.39,10.15,10.56,10.49
2001,9.86,9.61,10.03,9.95
2002,10.31,10.06,10.49,10.41
2003,10.18,9.92,10.36,10.28
2004,9.68,9.44,9.85,9.78
2005,9.95,9.72,10.12,10.05
2006,10.30,10.06,10.47,10.39
2007,10.47,10.23,10.65,10.57
2008,9.90,9.66,10.07,9.99
2009,10.04,9.79,10.21,10.14
2010,8.80,8.54,8.99,8.91
2011,10.59,10.33,10.76,10.69
2012,9.87,9.60,10.06,9.98
2013,9.37,9.11,9.54,9.47
2014,11.10,10.85,11.27,11.20
2015,10.56,10.29,10.76,10.67
2016,10.12,9.88,10.30,10.22
2017,10.45,10.20,10.63,10.55
2018,11.16,10.90,11.36,11.28
2019,10.83,10.57,11.01,10.93
2020,11.33,11.08,11.50,11.43
2021,9.81,9.57,9.97,9.91
