Variable:,tas
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1901,6.03,5.97,5.32,5.46,6.51,5.41,5.98,6.55,5.37,5.90,6.69,5.61,6.71,6.94,5.91,5.53,5.60,6.13,5.90,5.58,6.37,6.56,6.50,6.49,5.42,5.72,6.78
1902,3.96,3.89,3.10,3.30,4.51,3.29,3.97,4.56,3.16,3.83,4.67,3.56,4.75,5.01,3.79,3.41,3.48,4.05,3.86,3.49,4.33,4.59,4.48,4.49,3.18,3.54,4.78
1903,6.46,6.49,5.91,6.06,6.87,5.94,6.56,6.83,5.95,6.46,7.01,6.21,6.87,7.13,6.32,6.12,6.18,6.63,6.49,6.19,6.76,6.76,6.64,6.74,5.99,6.21,6.83
1904,4.92,4.75,4.11,4.23,5.40,4.21,4.77,5.59,4.16,4.68,5.67,4.38,5.84,6.11,4.77,4.31,4.35,4.92,4.70,4.37,5.30,5.67,5.58,5.53,4.20,4.51,5.93
1905,5.76,5.65,5.07,5.18,6.21,5.14,5.66,6.31,5.10,5.57,6.42,5.31,6.51,6.76,5.70,5.24,5.29,5.81,5.57,5.29,6.12,6.34,6.28,6.25,5.19,5.45,6.58
1906,6.36,6.28,5.70,5.82,6.80,5.75,6.31,6.87,5.72,6.22,7.00,5.95,7.04,7.29,6.28,5.88,5.93,6.42,6.22,5.93,6.70,6.87,6.81,6.81,5.81,6.05,7.08
1907,4.55,4.41,3.57,3.68,5.17,3.81,4.27,5.41,3.62,4.20,5.46,3.86,5.61,5.88,4.61,3.72,3.88,4.57,4.15,3.82,5.05,5.45,5.36,5.38,3.75,4.13,5.65
1908,5.06,4.93,4.22,4.30,5.62,4.38,4.81,5.81,4.25,4.78,5.90,4.41,6.00,6.27,5.11,4.32,4.46,5.08,4.74,4.39,5.51,5.83,5.76,5.77,4.37,4.70,6.08
1909,4.93,4.81,4.29,4.39,5.39,4.33,4.82,5.47,4.30,4.73,5.57,4.47,5.64,5.88,4.90,4.43,4.48,4.94,4.74,4.47,5.29,5.48,5.42,5.40,4.40,4.67,5.69
1910,6.75,6.70,6.09,6.23,7.22,6.16,6.71,7.24,6.13,6.63,7.38,6.33,7.36,7.61,6.69,6.25,6.36,6.84,6.65,6.33,7.10,7.21,7.17,7.17,6.19,6.45,7.41
1911,5.93,5.77,5.00,5.02,6.53,5.16,5.62,6.76,5.05,5.59,6.82,5.12,7.03,7.30,5.96,5.03,5.29,5.92,5.54,5.12,6.42,6.84,6.81,6.72,5.18,5.58,7.15
1912,4.99,4.86,4.18,4.28,5.50,4.33,4.76,5.66,4.22,4.72,5.76,4.38,5.87,6.13,5.05,4.30,4.43,5.00,4.70,4.37,5.41,5.68,5.68,5.63,4.32,4.67,6.01
1913,6.46,6.37,5.68,5.84,6.98,5.79,6.40,7.06,5.69,6.29,7.16,6.05,7.23,7.49,6.36,5.92,5.98,6.51,6.29,5.98,6.84,7.07,7.04,7.00,5.77,6.07,7.33
1914,6.48,6.33,5.64,5.75,6.99,5.77,6.28,7.15,5.68,6.21,7.22,5.89,7.42,7.68,6.42,5.81,5.93,6.49,6.19,5.88,6.88,7.23,7.19,7.11,5.79,6.13,7.52
