Variable:,tas
,Malta,Attard,Balzan,Birgu,Birkirkara,Birzebbugia,Bormla,Dingli,Fgura,Floriana,Fontana,Ghajnsielem,Gharb,Gharghur,Ghasri,Ghaxaq,Gudja,Gzira,Hamrun,Iklin,Isla,Kalkara,Kercem,Kirkop,Lija,Luqa,Marsa,Marsascala,Marsaxlokk,Mdina,Mellieha,Mgarr,Mosta,Mqabba,Msida,Munxar,Nadur,Naxxar,Paola,Pembroke,Pieta,Qala,Qormi,Qrendi,"Rabat (malta)","Rabat (victoria)",Safi,"San Giljan","San Gwann","San Lawrenz","San Pawl Ii-bahar",Sannat,"Santa Lucija","Santa Venera",Siggiewi,Sliema,Swieqi,"Ta' Xbiex",Tarxien,Valletta,Xaghra,Xewkija,Xghajra,Zabbar,"Zebbug (gozo)","Zebbug (malta)",Zejtun,Zurrieq
1901,18.29,18.22,18.22,18.22,18.22,18.52,18.22,18.22,18.22,18.22,18.22,18.16,18.16,18.22,18.16,18.52,18.22,18.22,18.23,18.22,18.22,18.22,18.16,18.22,18.22,18.29,18.27,18.52,18.52,18.22,18.22,18.22,18.22,18.22,18.22,18.16,18.16,18.22,18.22,18.22,18.22,18.16,18.22,18.22,18.22,18.16,18.28,18.22,18.22,18.16,18.22,18.16,18.22,18.22,18.22,18.22,18.22,18.22,18.22,18.22,18.16,18.16,18.22,18.52,18.16,18.22,18.52,18.29
1902,18.40,18.33,18.33,18.33,18.33,18.64,18.33,18.33,18.33,18.33,18.33,18.27,18.27,18.33,18.27,18.64,18.33,18.33,18.34,18.33,18.33,18.33,18.27,18.33,18.33,18.40,18.38,18.64,18.64,18.33,18.33,18.33,18.33,18.33,18.33,18.27,18.27,18.33,18.33,18.33,18.33,18.27,18.33,18.33,18.33,18.27,18.40,18.33,18.33,18.27,18.33,18.27,18.33,18.33,18.33,18.33,18.33,18.33,18.33,18.33,18.27,18.27,18.33,18.64,18.27,18.33,18.64,18.40
1903,18.00,17.92,17.92,17.92,17.92,18.26,17.92,17.92,17.92,17.92,17.92,17.84,17.84,17.92,17.84,18.26,17.92,17.92,17.93,17.92,17.92,17.92,17.84,17.92,17.92,17.99,17.97,18.26,18.26,17.92,17.92,17.92,17.92,17.92,17.92,17.84,17.84,17.92,17.92,17.92,17.92,17.84,17.92,17.92,17.92,17.84,17.99,17.92,17.92,17.84,17.92,17.84,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.84,17.84,17.92,18.26,17.84,17.92,18.26,18.00
1904,18.29,18.21,18.21,18.21,18.21,18.55,18.21,18.21,18.21,18.21,18.21,18.15,18.15,18.21,18.15,18.55,18.21,18.21,18.22,18.21,18.21,18.21,18.15,18.21,18.21,18.28,18.26,18.55,18.55,18.21,18.21,18.21,18.21,18.21,18.21,18.15,18.15,18.21,18.21,18.21,18.21,18.15,18.21,18.21,18.21,18.15,18.28,18.21,18.21,18.15,18.21,18.15,18.21,18.21,18.21,18.21,18.21,18.21,18.21,18.21,18.15,18.15,18.21,18.55,18.15,18.21,18.55,18.29
1905,18.02,17.94,17.94,17.94,17.94,18.29,17.94,17.94,17.94,17.94,17.94,17.85,17.85,17.94,17.85,18.29,17.94,17.94,17.95,17.94,17.94,17.94,17.85,17.94,17.94,18.02,17.99,18.29,18.29,17.94,17.94,17.94,17.94,17.94,17.94,17.85,17.85,17.94,17.94,17.94,17.94,17.85,17.94,17.94,17.94,17.85,18.02,17.94,17.94,17.85,17.94,17.85,17.94,17.94,17.94,17.94,17.94,17.94,17.94,17.94,17.85,17.85,17.94,18.29,17.85,17.94,18.29,18.02
1906,17.83,17.74,17.74,17.74,17.74,18.12,17.74,17.74,17.74,17.74,17.74,17.71,17.71,17.74,17.71,18.12,17.74,17.74,17.75,17.74,17.74,17.74,17.71,17.74,17.74,17.82,17.80,18.12,18.12,17.74,17.74,17.74,17.74,17.74,17.74,17.71,17.71,17.74,17.74,17.74,17.74,17.71,17.74,17.74,17.74,17.71,17.82,17.74,17.74,17.71,17.74,17.71,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.71,17.71,17.74,18.12,17.71,17.74,18.12,17.83
1907,17.81,17.74,17.74,17.74,17.74,18.04,17.74,17.74,17.74,17.74,17.74,17.68,17.68,17.74,17.68,18.04,17.74,17.74,17.75,17.74,17.74,17.74,17.68,17.74,17.74,17.81,17.79,18.04,18.04,17.74,17.74,17.74,17.74,17.74,17.74,17.68,17.68,17.74,17.74,17.74,17.74,17.68,17.74,17.74,17.74,17.68,17.80,17.74,17.74,17.68,17.74,17.68,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.68,17.68,17.74,18.04,17.68,17.74,18.04,17.81
1908,17.98,17.91,17.91,17.91,17.91,18.23,17.91,17.91,17.91,17.91,17.91,17.83,17.83,17.91,17.83,18.23,17.91,17.91,17.92,17.91,17.91,17.91,17.83,17.91,17.91,17.98,17.96,18.23,18.23,17.91,17.91,17.91,17.91,17.91,17.91,17.83,17.83,17.91,17.91,17.91,17.91,17.83,17.91,17.91,17.91,17.83,17.98,17.91,17.91,17.83,17.91,17.83,17.91,17.91,17.91,17.91,17.91,17.91,17.91,17.91,17.83,17.83,17.91,18.23,17.83,17.91,18.23,17.99
1909,17.96,17.88,17.88,17.88,17.88,18.24,17.88,17.88,17.88,17.88,17.88,17.78,17.78,17.88,17.78,18.24,17.88,17.88,17.89,17.88,17.88,17.88,17.78,17.88,17.88,17.96,17.94,18.24,18.24,17.88,17.88,17.88,17.88,17.88,17.88,17.78,17.78,17.88,17.88,17.88,17.88,17.78,17.88,17.88,17.88,17.78,17.96,17.88,17.88,17.78,17.88,17.78,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.78,17.78,17.88,18.24,17.78,17.88,18.24,17.97
1910,17.83,17.76,17.76,17.76,17.76,18.08,17.76,17.76,17.76,17.76,17.76,17.68,17.68,17.76,17.68,18.08,17.76,17.76,17.77,17.76,17.76,17.76,17.68,17.76,17.76,17.83,17.81,18.08,18.08,17.76,17.76,17.76,17.76,17.76,17.76,17.68,17.68,17.76,17.76,17.76,17.76,17.68,17.76,17.76,17.76,17.68,17.83,17.76,17.76,17.68,17.76,17.68,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.68,17.68,17.76,18.08,17.68,17.76,18.08,17.84
1911,18.49,18.43,18.43,18.43,18.43,18.71,18.43,18.43,18.43,18.43,18.43,18.34,18.34,18.43,18.34,18.71,18.43,18.43,18.44,18.43,18.43,18.43,18.34,18.43,18.43,18.49,18.47,18.71,18.71,18.43,18.43,18.43,18.43,18.43,18.43,18.34,18.34,18.43,18.43,18.43,18.43,18.34,18.43,18.43,18.43,18.34,18.49,18.43,18.43,18.34,18.43,18.34,18.43,18.43,18.43,18.43,18.43,18.43,18.43,18.43,18.34,18.34,18.43,18.71,18.34,18.43,18.71,18.50
