Variable:,tas
,Netherlands,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-brabant,Noord-holland,Overijssel,Utrecht,Zeeland,Zuid-holland
1901,8.87,8.44,8.73,8.50,8.91,8.42,9.19,9.22,8.90,8.65,8.91,9.59,9.16
1902,8.30,7.80,8.13,7.83,8.37,7.72,8.74,8.76,8.30,8.04,8.35,9.14,8.65
1903,9.40,8.97,9.24,8.92,9.48,8.89,9.80,9.81,9.32,9.20,9.36,10.14,9.67
1904,9.30,8.86,9.14,8.82,9.38,8.78,9.70,9.71,9.23,9.09,9.28,10.06,9.59
1905,9.01,8.61,8.86,8.59,9.08,8.53,9.37,9.38,8.96,8.83,8.99,9.71,9.27
1906,9.52,9.15,9.41,9.13,9.58,9.05,9.82,9.85,9.55,9.35,9.58,10.19,9.79
1907,9.02,8.59,8.90,8.55,9.09,8.46,9.38,9.40,9.06,8.82,9.10,9.75,9.34
1908,8.77,8.35,8.64,8.39,8.81,8.29,9.06,9.10,8.81,8.56,8.85,9.47,9.07
1909,8.57,8.11,8.43,8.10,8.63,8.02,8.93,8.96,8.60,8.35,8.66,9.27,8.89
1910,9.74,9.33,9.62,9.36,9.79,9.30,10.03,10.07,9.79,9.54,9.83,10.38,10.02
1911,10.34,9.90,10.21,9.86,10.40,9.80,10.71,10.73,10.37,10.13,10.46,11.05,10.67
1912,9.45,8.99,9.31,8.98,9.50,8.86,9.81,9.85,9.50,9.21,9.56,10.21,9.80
1913,9.92,9.47,9.79,9.48,9.96,9.37,10.27,10.32,9.97,9.68,10.06,10.66,10.27
1914,9.95,9.53,9.84,9.58,9.99,9.51,10.23,10.28,10.01,9.73,10.06,10.60,10.24
1915,9.13,8.64,8.99,8.59,9.19,8.49,9.57,9.58,9.17,8.88,9.26,9.94,9.51
1916,9.50,9.00,9.35,8.98,9.55,8.92,9.93,9.93,9.53,9.23,9.63,10.25,9.86
1917,8.69,8.25,8.55,8.27,8.74,8.22,9.05,9.06,8.72,8.46,8.79,9.35,8.99
1918,9.72,9.26,9.58,9.24,9.78,9.18,10.12,10.13,9.76,9.48,9.85,10.42,10.06
1919,8.47,7.97,8.30,7.97,8.51,7.87,8.91,8.92,8.51,8.20,8.61,9.32,8.87
1920,9.76,9.28,9.62,9.28,9.81,9.21,10.15,10.17,9.79,9.50,9.88,10.49,10.11
1921,10.33,9.82,10.17,9.85,10.36,9.74,10.75,10.77,10.37,10.04,10.47,11.16,10.72
1922,8.52,7.98,8.35,7.99,8.54,7.90,8.98,8.99,8.56,8.20,8.67,9.42,8.94
1923,9.10,8.56,8.92,8.55,9.13,8.48,9.59,9.58,9.12,8.79,9.24,9.98,9.51
1924,8.86,8.33,8.68,8.39,8.88,8.32,9.28,9.30,8.89,8.55,9.00,9.73,9.26
1925,9.49,9.04,9.34,9.06,9.51,9.04,9.84,9.87,9.53,9.23,9.62,10.19,9.82
1926,9.86,9.41,9.73,9.40,9.92,9.35,10.23,10.25,9.90,9.63,9.96,10.62,10.19
1927,9.21,8.75,9.06,8.76,9.25,8.69,9.58,9.61,9.23,8.96,9.31,10.00,9.54
1928,9.56,9.07,9.40,9.07,9.60,8.97,9.96,9.98,9.58,9.30,9.65,10.45,9.93
1929,8.76,8.28,8.61,8.23,8.83,8.14,9.20,9.20,8.77,8.53,8.83,9.64,9.13
1930,9.99,9.56,9.86,9.57,10.05,9.51,10.34,10.35,10.03,9.78,10.04,10.71,10.29
1931,9.00,8.52,8.85,8.54,9.06,8.41,9.38,9.41,9.02,8.76,9.08,9.76,9.33
1932,9.61,9.19,9.48,9.21,9.67,9.10,9.96,9.98,9.63,9.40,9.66,10.32,9.90
1933,9.29,8.87,9.16,8.90,9.36,8.82,9.64,9.65,9.31,9.09,9.34,10.00,9.57
1934,10.40,9.97,10.26,9.99,10.46,9.89,10.78,10.78,10.40,10.20,10.44,11.11,10.68
1935,9.77,9.32,9.64,9.33,9.83,9.21,10.15,10.17,9.80,9.54,9.85,10.52,10.09
1936,9.60,9.15,9.47,9.16,9.66,9.05,9.98,9.99,9.62,9.37,9.68,10.33,9.91
1937,9.74,9.27,9.59,9.26,9.81,9.13,10.17,10.17,9.75,9.50,9.83,10.53,10.08
1938,9.92,9.51,9.78,9.54,9.97,9.48,10.25,10.27,9.93,9.71,9.95,10.62,10.19
1939,9.73,9.28,9.59,9.30,9.80,9.20,10.10,10.12,9.74,9.51,9.79,10.46,10.03
1940,8.29,7.76,8.12,7.76,8.35,7.61,8.75,8.77,8.32,8.01,8.42,9.13,8.67
1941,8.72,8.19,8.56,8.19,8.78,8.02,9.19,9.20,8.75,8.43,8.85,9.56,9.12
1942,8.59,8.02,8.42,8.02,8.66,7.83,9.09,9.11,8.62,8.30,8.75,9.48,9.03
1943,10.05,9.60,9.91,9.62,10.12,9.52,10.42,10.43,10.06,9.84,10.11,10.78,10.35
1944,9.56,9.14,9.43,9.17,9.62,9.08,9.88,9.91,9.59,9.34,9.62,10.25,9.85
1945,10.26,9.81,10.12,9.83,10.34,9.75,10.61,10.64,10.29,10.03,10.32,10.99,10.56
1946,9.39,8.96,9.26,8.97,9.46,8.84,9.79,9.78,9.40,9.19,9.42,10.12,9.67
1947,9.93,9.39,9.77,9.39,9.99,9.19,10.47,10.42,9.94,9.64,10.03,10.79,10.31
1948,10.28,9.87,10.14,9.88,10.36,9.79,10.55,10.62,10.29,10.10,10.33,10.95,10.57
1949,10.54,10.11,10.40,10.13,10.62,10.05,10.84,10.91,10.58,10.32,10.60,11.23,10.85
1950,9.74,9.28,9.58,9.29,9.80,9.21,10.12,10.14,9.75,9.48,9.81,10.49,10.05
1951,9.62,9.20,9.48,9.21,9.68,9.16,9.96,9.98,9.64,9.42,9.66,10.32,9.91
