Variable:,tas
,Poland,Dolnoslaskie,Kujawsko-Pomorskie,Lodzkie,Lubeiskie,Lubuskie,Malopolske,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Slaskie,Swietokrzyskie,Warminsko-Mazurskie,Wielkopolskie,Zachodnio-Pomorskie
1901,7.74,7.51,7.80,8.08,7.72,8.51,7.41,7.83,7.65,7.76,7.11,7.24,7.56,7.83,7.31,8.20,8.12
1902,6.31,6.65,6.35,6.58,6.08,7.61,6.06,6.11,6.75,6.39,5.15,5.70,6.51,6.28,5.49,7.00,6.90
1903,8.11,8.11,8.18,8.41,8.09,9.09,7.66,8.19,8.23,8.03,7.46,7.45,8.04,8.08,7.63,8.66,8.40
1904,7.47,8.03,7.57,7.84,7.00,9.01,7.23,7.16,8.04,7.36,6.08,6.89,7.75,7.45,6.54,8.28,8.21
1905,7.69,7.77,7.78,8.01,7.51,8.74,7.33,7.65,7.92,7.64,6.80,7.17,7.73,7.69,7.14,8.27,8.14
1906,8.08,8.08,8.22,8.36,7.89,9.15,7.55,8.06,8.12,7.91,7.29,7.71,7.92,7.97,7.65,8.69,8.67
1907,7.08,7.54,7.17,7.44,6.67,8.47,6.77,6.81,7.59,6.95,5.79,6.56,7.30,7.02,6.27,7.82,7.74
1908,7.04,7.14,7.16,7.28,6.80,8.15,6.58,6.92,7.26,6.98,6.05,6.73,7.03,6.94,6.51,7.64,7.69
1909,7.01,7.06,6.99,7.28,7.03,7.98,6.87,6.96,7.32,7.32,6.05,6.35,7.19,7.18,6.36,7.51,7.26
1910,8.35,8.09,8.38,8.60,8.37,9.10,7.96,8.49,8.34,8.37,7.76,7.93,8.22,8.42,7.99,8.76,8.70
1911,8.37,8.58,8.55,8.73,7.98,9.65,7.95,8.22,8.66,8.20,7.21,7.97,8.44,8.35,7.70,9.09,9.05
1912,7.06,7.23,7.18,7.34,6.78,8.28,6.62,6.94,7.29,6.92,6.04,6.67,7.05,6.98,6.45,7.70,7.70
1913,8.11,8.02,8.29,8.39,7.91,9.13,7.45,8.13,8.06,7.79,7.43,7.88,7.84,7.86,7.78,8.70,8.75
1914,8.11,8.02,8.39,8.36,7.80,9.23,7.32,8.11,8.00,7.66,7.34,8.04,7.76,7.78,7.83,8.77,8.95
1915,7.37,7.54,7.35,7.80,7.35,8.43,7.24,7.31,7.78,7.60,6.34,6.50,7.61,7.56,6.50,7.96,7.59
1916,8.12,8.31,8.06,8.57,8.12,9.11,8.04,8.07,8.59,8.37,7.16,7.22,8.42,8.36,7.24,8.67,8.32
1917,7.23,7.34,7.26,7.59,7.08,8.26,7.11,7.10,7.56,7.45,6.16,6.62,7.41,7.40,6.47,7.80,7.68
1918,8.16,8.38,8.11,8.58,8.12,9.26,7.97,8.14,8.54,8.24,7.22,7.30,8.34,8.28,7.34,8.75,8.42
1919,6.98,7.04,6.98,7.32,6.89,7.93,6.77,6.93,7.30,7.14,6.05,6.35,7.16,7.09,6.35,7.50,7.31
1920,8.14,8.23,8.20,8.45,7.94,9.18,7.77,8.07,8.41,8.03,7.31,7.64,8.18,8.12,7.60,8.74,8.57
1921,8.35,8.52,8.46,8.69,8.09,9.52,7.98,8.22,8.64,8.22,7.33,7.89,8.41,8.34,7.70,9.03,8.93
1922,6.64,6.75,6.66,6.95,6.50,7.63,6.39,6.55,7.01,6.68,5.75,6.11,6.83,6.69,6.06,7.18,7.01
1923,7.54,7.67,7.39,7.93,7.62,8.46,7.65,7.51,7.96,8.06,6.59,6.58,7.86,7.90,6.68,7.98,7.63
1924,6.88,6.99,6.86,7.16,6.77,8.00,6.58,6.82,7.06,6.96,6.04,6.33,6.88,6.92,6.30,7.39,7.33
1925,8.14,8.01,8.20,8.41,8.16,9.04,7.68,8.21,8.14,8.11,7.50,7.64,7.98,8.10,7.72,8.61,8.52
1926,8.12,8.37,8.13,8.47,7.95,9.27,7.97,8.00,8.52,8.28,7.01,7.40,8.33,8.27,7.29,8.75,8.53
1927,7.48,7.65,7.42,7.83,7.35,8.53,7.43,7.34,7.90,7.80,6.44,6.81,7.75,7.70,6.70,8.00,7.83
1928,7.50,7.85,7.49,7.91,7.20,8.70,7.39,7.34,8.07,7.57,6.36,6.73,7.87,7.64,6.65,8.13,7.88
1929,6.80,7.23,6.76,7.08,6.51,8.17,6.57,6.56,7.26,6.79,5.67,6.19,7.00,6.83,5.99,7.50,7.40
1930,8.40,8.40,8.37,8.72,8.28,9.40,8.20,8.35,8.57,8.53,7.52,7.93,8.45,8.53,7.83,8.90,8.81
1931,7.11,7.19,7.07,7.48,7.04,8.04,7.00,7.05,7.42,7.32,6.13,6.39,7.29,7.31,6.37,7.65,7.46
1932,8.03,8.02,8.08,8.35,7.90,9.00,7.59,8.05,8.14,7.86,7.30,7.60,7.95,7.94,7.55,8.59,8.55
1933,6.66,6.79,6.80,6.86,6.18,7.96,6.24,6.34,6.91,6.39,5.47,6.66,6.69,6.50,5.96,7.39,7.85
1934,9.28,9.16,9.22,9.67,9.23,10.05,9.03,9.39,9.50,9.30,8.57,8.80,9.37,9.43,8.79,9.65,9.60
1935,7.86,7.90,7.92,8.22,7.61,8.92,7.52,7.78,8.02,7.76,6.91,7.47,7.88,7.90,7.24,8.44,8.54
1936,8.32,8.11,8.29,8.64,8.40,9.04,7.99,8.46,8.33,8.39,7.76,7.75,8.23,8.42,7.88,8.71,8.57
1937,8.35,8.28,8.32,8.72,8.30,9.19,8.10,8.42,8.51,8.39,7.63,7.79,8.42,8.48,7.82,8.80,8.65
1938,8.54,8.37,8.63,8.81,8.40,9.43,7.99,8.58,8.52,8.31,7.89,8.29,8.36,8.42,8.20,9.02,9.18
1939,8.36,8.08,8.43,8.67,8.38,9.10,8.04,8.44,8.36,8.42,7.68,7.97,8.30,8.48,7.93,8.80,8.70
1940,5.70,5.83,5.84,5.98,5.40,6.84,5.25,5.55,5.91,5.52,4.74,5.34,5.71,5.61,5.16,6.38,6.38
1941,6.16,6.47,6.24,6.55,5.84,7.32,6.04,5.89,6.60,6.30,4.84,5.60,6.48,6.32,5.26,6.85,6.78
1942,6.43,6.85,6.41,6.92,6.14,7.61,6.46,6.24,7.01,6.67,5.14,5.52,6.88,6.73,5.38,7.16,6.79
1943,8.29,8.29,8.45,8.57,8.00,9.34,7.82,8.19,8.39,8.07,7.39,8.04,8.23,8.21,7.78,8.91,9.00
1944,8.13,7.96,8.26,8.48,8.00,9.04,7.68,8.18,8.05,8.00,7.38,7.75,7.99,8.12,7.67,8.69,8.67
1945,7.90,8.28,8.01,8.23,7.40,9.20,7.63,7.57,8.35,7.71,6.61,7.57,8.16,7.85,7.07,8.66,8.78
1946,7.90,8.07,7.78,8.31,7.85,8.85,7.93,7.80,8.29,8.17,6.84,7.13,8.21,8.17,7.00,8.40,8.25
1947,7.44,7.87,7.35,7.79,7.31,8.59,7.48,7.25,8.01,7.68,6.24,6.60,7.81,7.67,6.41,8.07,7.85
1948,8.38,8.59,8.47,8.69,8.10,9.53,7.97,8.30,8.61,8.21,7.47,7.83,8.35,8.30,7.74,9.07,8.97
1949,8.71,8.63,8.81,8.97,8.44,9.68,8.20,8.72,8.73,8.47,8.03,8.43,8.53,8.55,8.34,9.28,9.33
