Variable:,tas
,Portugal,Aveiro,Beja,Braga,Braganca,"Castelo Branco",Coimbra,Evora,Faro,Guarda,Leiria,Lisboa,Portalegre,Porto,Santarem,Setubal,"Viana Do Castelo","Vila Real",Viseu
1901,14.15,13.42,15.89,11.86,11.49,13.95,13.99,15.68,15.77,12.15,14.92,15.69,15.30,12.72,15.45,16.05,12.00,10.86,12.21
1902,14.27,13.60,15.92,12.03,11.69,14.12,14.16,15.76,15.77,12.35,15.04,15.77,15.41,12.91,15.55,16.10,12.15,11.04,12.40
1903,14.45,13.80,16.07,12.23,11.87,14.29,14.35,15.92,15.92,12.52,15.24,15.95,15.56,13.09,15.75,16.26,12.37,11.24,12.58
1904,14.78,14.14,16.40,12.55,12.19,14.64,14.69,16.26,16.25,12.87,15.57,16.27,15.92,13.43,16.07,16.58,12.66,11.56,12.92
1905,14.13,13.46,15.79,11.87,11.53,13.99,14.03,15.62,15.65,12.20,14.92,15.64,15.27,12.75,15.44,15.99,12.00,10.89,12.25
1906,14.46,13.84,16.06,12.29,11.91,14.31,14.38,15.91,15.91,12.55,15.25,15.96,15.56,13.15,15.75,16.27,12.44,11.28,12.61
1907,14.27,13.65,15.87,12.08,11.71,14.13,14.20,15.72,15.71,12.36,15.08,15.78,15.39,12.95,15.58,16.08,12.22,11.07,12.43
1908,14.57,13.96,16.15,12.38,11.98,14.42,14.51,16.03,15.99,12.65,15.38,16.08,15.70,13.25,15.88,16.37,12.52,11.37,12.72
1909,14.21,13.56,15.84,11.99,11.57,14.04,14.11,15.69,15.69,12.25,15.03,15.75,15.34,12.86,15.53,16.05,12.12,10.96,12.33
1910,14.17,13.53,15.78,11.98,11.61,14.02,14.08,15.63,15.62,12.25,14.96,15.67,15.29,12.84,15.47,15.97,12.13,10.98,12.31
1911,14.26,13.66,15.81,12.15,11.81,14.10,14.17,15.69,15.65,12.40,14.99,15.68,15.36,13.01,15.50,15.99,12.31,11.17,12.46
1912,14.22,13.59,15.81,12.05,11.68,14.06,14.13,15.68,15.66,12.31,15.02,15.71,15.35,12.90,15.52,16.01,12.20,11.05,12.37
1913,14.42,13.83,15.96,12.30,11.95,14.28,14.35,15.86,15.78,12.57,15.16,15.84,15.54,13.16,15.68,16.15,12.45,11.30,12.62
1914,14.29,13.69,15.85,12.16,11.77,14.14,14.21,15.72,15.69,12.40,15.07,15.77,15.40,13.00,15.57,16.05,12.31,11.14,12.47
1915,14.39,13.75,16.00,12.21,11.82,14.21,14.30,15.84,15.84,12.44,15.21,15.93,15.50,13.07,15.70,16.22,12.36,11.20,12.51
1916,14.36,13.76,15.93,12.21,11.82,14.19,14.28,15.79,15.78,12.44,15.15,15.85,15.47,13.07,15.65,16.14,12.36,11.20,12.53
1917,13.87,13.26,15.49,11.70,11.27,13.71,13.80,15.33,15.34,11.92,14.68,15.40,15.00,12.56,15.18,15.71,11.84,10.66,12.01
