Variable:,tas
,Romania,Alba,Arad,Arges,Bacau,Bihor,Bistrita-nasaud,Botosani,Braila,Brasov,Bucuresti,Buzau,Calarasi,Caras-severin,Cluj,Constanta,Covasna,Dimbovita,Dolj,Galati,Giurgiu,Gorj,Harghita,Hunedoara,Ialomita,Iasi,Maramures,Mehedinti,Mures,Neamt,Olt,Prahova,Salaj,"Satu Mare",Sibiu,Suceava,Teleorman,Timis,Tulcea,Vaslui,Vilcea,Vrancea
1901,9.17,8.10,10.08,8.39,8.27,9.28,7.02,9.33,11.37,6.91,11.15,9.48,11.59,8.95,8.16,11.69,6.12,9.07,11.24,10.70,11.32,8.43,5.86,8.11,11.40,9.78,6.91,10.14,7.65,7.24,10.97,8.68,8.83,9.34,7.75,6.42,11.34,10.65,11.45,10.04,8.48,8.96
1902,8.27,7.27,9.41,7.49,7.15,8.40,6.05,8.08,10.35,5.98,10.23,8.54,10.67,8.46,7.20,10.64,5.12,8.16,10.62,9.60,10.41,7.84,4.78,7.41,10.44,8.59,5.88,9.64,6.63,6.12,10.28,7.76,7.88,8.37,6.86,5.28,10.49,10.17,10.31,8.86,7.73,7.86
1903,9.53,8.52,10.58,8.77,8.50,9.68,7.37,9.59,11.63,7.26,11.48,9.82,11.92,9.58,8.54,11.86,6.39,9.43,11.73,10.93,11.66,9.02,6.07,8.62,11.71,10.05,7.24,10.77,7.91,7.49,11.43,9.02,9.25,9.74,8.12,6.67,11.72,11.26,11.55,10.29,8.93,9.16
1904,8.91,7.98,10.25,8.09,7.73,9.22,6.78,8.66,10.86,6.59,10.81,9.11,11.22,9.26,7.97,11.02,5.73,8.76,11.22,10.12,11.00,8.55,5.39,8.15,10.97,9.16,6.66,10.39,7.29,6.70,10.85,8.34,8.67,9.17,7.52,5.88,11.08,11.04,10.64,9.40,8.37,8.43
1905,9.14,8.10,10.15,8.38,8.10,9.24,6.98,9.14,11.27,6.88,11.12,9.44,11.55,9.16,8.11,11.55,6.02,9.05,11.34,10.56,11.29,8.59,5.69,8.18,11.34,9.61,6.81,10.36,7.55,7.08,11.03,8.65,8.81,9.30,7.75,6.25,11.34,10.84,11.27,9.86,8.55,8.78
1906,9.39,8.31,10.31,8.66,8.42,9.43,7.19,9.51,11.59,7.17,11.39,9.72,11.83,9.31,8.32,11.86,6.31,9.33,11.53,10.89,11.57,8.76,5.97,8.35,11.63,9.96,7.01,10.51,7.79,7.41,11.24,8.93,9.00,9.50,7.98,6.57,11.60,11.00,11.60,10.23,8.76,9.06
1907,8.53,7.59,9.84,7.74,7.36,8.83,6.37,8.27,10.49,6.22,10.46,8.78,10.88,8.88,7.56,10.66,5.35,8.40,10.88,9.74,10.64,8.16,5.02,7.74,10.62,8.77,6.23,10.03,6.92,6.32,10.51,7.99,8.24,8.73,7.15,5.49,10.73,10.64,10.26,9.01,8.01,8.08
1908,8.44,7.50,9.60,7.64,7.32,8.68,6.35,8.31,10.47,6.15,10.37,8.69,10.81,8.61,7.50,10.75,5.27,8.31,10.67,9.74,10.55,7.99,4.95,7.60,10.57,8.79,6.21,9.78,6.87,6.30,10.33,7.90,8.20,8.70,7.08,5.49,10.62,10.30,10.40,9.05,7.88,8.02
1909,9.04,8.02,10.10,8.28,7.99,9.14,6.87,9.00,11.19,6.79,11.01,9.34,11.44,9.11,8.00,11.48,5.92,8.95,11.23,10.46,11.18,8.50,5.58,8.10,11.24,9.49,6.69,10.28,7.45,6.97,10.93,8.55,8.69,9.18,7.65,6.14,11.23,10.82,11.19,9.75,8.44,8.67
1910,9.89,8.94,11.00,9.05,8.87,10.09,7.85,9.87,12.00,7.59,11.78,10.14,12.21,9.95,8.99,12.17,6.77,9.71,12.05,11.27,11.96,9.35,6.51,9.02,12.01,10.33,7.70,11.11,8.37,7.85,11.74,9.32,9.65,10.14,8.51,7.03,12.02,11.64,11.88,10.57,9.26,9.57
1911,9.23,8.50,10.71,8.35,8.04,9.83,7.33,8.89,11.02,6.88,11.01,9.34,11.37,9.65,8.53,10.97,5.99,8.99,11.49,10.31,11.16,8.80,5.74,8.56,11.14,9.32,7.26,10.68,7.76,7.02,11.09,8.57,9.31,9.85,7.95,6.22,11.29,11.40,10.59,9.52,8.68,8.73
1912,8.35,7.41,9.55,7.50,7.25,8.65,6.27,8.17,10.42,6.02,10.23,8.56,10.69,8.54,7.45,10.65,5.18,8.16,10.54,9.70,10.41,7.78,4.91,7.47,10.49,8.64,6.15,9.62,6.81,6.22,10.21,7.75,8.18,8.67,6.97,5.41,10.52,10.26,10.32,8.96,7.71,7.96
1913,9.01,8.01,10.07,8.21,8.06,9.24,6.95,9.16,11.04,6.74,10.86,9.24,11.26,9.00,8.09,11.29,5.92,8.86,11.08,10.47,10.98,8.39,5.67,8.05,11.08,9.60,6.86,10.15,7.50,7.05,10.76,8.47,8.80,9.31,7.61,6.24,11.01,10.68,11.07,9.89,8.34,8.74
1914,8.66,7.63,9.68,7.82,7.70,8.89,6.56,8.85,10.77,6.39,10.53,8.90,10.98,8.54,7.72,11.00,5.57,8.49,10.73,10.12,10.70,8.05,5.32,7.71,10.80,9.29,6.54,9.76,7.12,6.70,10.42,8.10,8.44,8.98,7.23,5.89,10.71,10.21,10.76,9.55,7.99,8.36
1915,9.34,8.31,10.35,8.57,8.28,9.45,7.19,9.21,11.50,7.12,11.33,9.68,11.82,9.32,8.34,11.81,6.24,9.27,11.55,10.75,11.51,8.81,5.89,8.38,11.60,9.70,7.01,10.55,7.77,7.23,11.25,8.91,8.99,9.47,7.97,6.39,11.57,11.00,11.52,10.02,8.76,9.03
1916,9.89,8.93,11.01,9.13,8.76,10.09,7.79,9.73,11.91,7.63,11.86,10.18,12.26,9.99,8.95,12.10,6.77,9.80,12.15,11.20,12.04,9.45,6.42,9.05,12.01,10.20,7.66,11.21,8.33,7.72,11.82,9.40,9.65,10.13,8.53,6.90,12.10,11.68,11.80,10.47,9.36,9.50
1917,9.03,8.01,10.08,8.25,7.92,9.18,6.90,8.85,11.14,6.75,11.05,9.36,11.47,9.08,8.05,11.39,5.89,8.96,11.28,10.43,11.22,8.52,5.56,8.08,11.23,9.37,6.73,10.28,7.45,6.88,10.95,8.57,8.69,9.21,7.66,6.04,11.24,10.78,11.10,9.67,8.46,8.69
1918,9.43,8.43,10.45,8.61,8.46,9.61,7.40,9.57,11.52,7.15,11.33,9.75,11.78,9.39,8.48,11.68,6.32,9.27,11.54,10.90,11.47,8.89,6.05,8.46,11.56,10.00,7.26,10.57,7.91,7.44,11.24,8.89,9.16,9.73,8.09,6.60,11.51,11.02,11.50,10.30,8.85,9.13
1919,8.86,7.78,9.83,8.11,7.77,8.95,6.65,8.68,11.10,6.59,10.89,9.28,11.45,8.84,7.79,11.46,5.75,8.80,11.15,10.32,11.07,8.34,5.34,7.84,11.21,9.22,6.50,10.07,7.21,6.70,10.84,8.42,8.45,8.92,7.42,5.82,11.14,10.55,11.19,9.58,8.31,8.52
1920,8.98,8.09,10.41,8.11,7.94,9.48,6.95,9.00,10.71,6.71,10.73,9.08,11.06,9.35,8.15,10.82,5.85,8.71,11.07,10.12,10.86,8.60,5.52,8.27,10.83,9.44,6.91,10.39,7.45,6.94,10.70,8.29,8.89,9.46,7.64,6.10,10.92,11.10,10.52,9.59,8.45,8.46
1921,9.20,8.38,10.61,8.31,8.11,9.71,7.25,9.19,10.96,6.90,10.89,9.28,11.27,9.56,8.44,11.08,6.03,8.93,11.28,10.39,11.04,8.72,5.74,8.45,11.06,9.62,7.18,10.57,7.69,7.12,10.92,8.57,9.19,9.73,7.89,6.31,11.13,11.29,10.75,9.85,8.62,8.77
1922,8.48,7.36,9.48,7.74,7.42,8.53,6.24,8.42,10.65,6.23,10.52,8.83,11.01,8.52,7.40,11.04,5.38,8.41,10.69,9.86,10.74,7.92,5.02,7.46,10.75,8.89,6.04,9.71,6.87,6.37,10.42,8.02,8.07,8.55,7.05,5.53,10.76,10.24,10.79,9.15,7.88,8.13
1923,10.09,9.11,11.16,9.40,9.02,10.24,7.95,9.92,12.11,7.88,12.09,10.40,12.46,10.14,9.13,12.37,7.01,10.06,12.35,11.43,12.22,9.62,6.67,9.19,12.22,10.39,7.72,11.35,8.55,7.98,12.04,9.65,9.78,10.25,8.75,7.14,12.29,11.83,12.07,10.69,9.57,9.73
1924,8.61,7.63,9.69,7.80,7.62,8.82,6.53,8.63,10.64,6.34,10.49,8.86,10.85,8.67,7.69,10.83,5.51,8.46,10.78,10.01,10.59,8.06,5.26,7.69,10.69,9.11,6.40,9.82,7.11,6.60,10.44,8.06,8.38,8.87,7.25,5.78,10.70,10.35,10.56,9.34,8.00,8.32
1925,9.59,8.63,10.58,8.79,8.64,9.78,7.56,9.77,11.63,7.33,11.48,9.86,11.88,9.51,8.69,11.87,6.51,9.46,11.68,11.01,11.61,8.97,6.24,8.66,11.69,10.22,7.46,10.71,8.10,7.63,11.39,9.06,9.35,9.86,8.21,6.82,11.66,11.14,11.60,10.42,8.92,9.32
1926,9.78,8.92,11.10,8.93,8.65,10.23,7.78,9.60,11.69,7.46,11.60,9.94,11.94,10.04,8.97,11.78,6.59,9.59,11.98,11.03,11.71,9.28,6.32,9.00,11.76,10.04,7.70,11.17,8.27,7.63,11.64,9.17,9.75,10.27,8.45,6.82,11.87,11.75,11.46,10.29,9.20,9.34
1927,9.72,8.78,10.93,8.95,8.57,9.98,7.61,9.45,11.72,7.45,11.66,9.98,12.07,9.99,8.80,11.87,6.58,9.60,11.97,10.97,11.82,9.23,6.25,8.87,11.83,9.90,7.43,11.12,8.17,7.54,11.65,9.21,9.50,9.98,8.37,6.71,11.93,11.73,11.52,10.20,9.17,9.30
1928,8.92,8.13,10.36,8.07,7.70,9.42,6.95,8.56,10.73,6.60,10.72,9.05,11.09,9.37,8.15,10.82,5.69,8.71,11.20,10.06,10.87,8.51,5.40,8.22,10.86,9.03,6.85,10.46,7.40,6.68,10.81,8.30,8.91,9.43,7.63,5.86,11.03,11.16,10.47,9.29,8.40,8.43
1929,8.48,7.52,9.68,7.72,7.32,8.76,6.33,8.20,10.51,6.15,10.43,8.77,10.89,8.71,7.55,10.80,5.31,8.37,10.80,9.74,10.61,8.04,4.95,7.62,10.64,8.70,6.19,9.88,6.88,6.25,10.44,7.96,8.26,8.74,7.09,5.40,10.72,10.41,10.46,9.01,7.95,8.06
1930,10.01,9.19,11.28,9.18,8.95,10.41,8.08,9.93,11.86,7.76,11.80,10.15,12.19,10.15,9.25,12.06,6.85,9.80,12.17,11.20,11.97,9.48,6.63,9.24,11.96,10.38,7.90,11.21,8.58,7.94,11.86,9.37,9.94,10.45,8.75,7.14,12.12,11.89,11.73,10.63,9.41,9.52
1931,8.87,7.90,10.00,8.08,7.75,9.12,6.74,8.66,10.89,6.59,10.91,9.21,11.26,9.03,7.91,11.12,5.73,8.80,11.12,10.17,11.03,8.42,5.37,8.03,11.03,9.13,6.65,10.16,7.26,6.68,10.78,8.44,8.66,9.16,7.50,5.85,11.07,10.70,10.79,9.44,8.32,8.52
1932,9.01,8.02,10.03,8.20,8.03,9.24,6.95,9.07,10.96,6.77,11.04,9.32,11.33,9.01,8.08,11.20,5.93,8.92,11.17,10.33,11.11,8.56,5.60,8.10,11.09,9.48,6.86,10.19,7.46,6.99,10.85,8.57,8.81,9.36,7.67,6.15,11.12,10.67,10.88,9.71,8.51,8.67
