Variable:,tas
,Slovakia,"Banska Bystrica",Bratislava,Kosice,Nitra,Presov,Trencin,Trnava,Zilna
1901,7.45,7.11,8.67,8.00,8.91,7.00,7.16,8.68,5.80
1902,6.57,6.32,8.21,6.84,8.27,5.74,6.47,8.12,4.84
1903,7.90,7.61,9.15,8.33,9.41,7.31,7.70,9.18,6.28
1904,7.71,7.53,9.33,7.84,9.45,6.79,7.69,9.27,6.11
1905,7.60,7.32,9.04,7.94,9.18,6.94,7.46,9.00,5.96
1906,7.74,7.43,9.03,8.18,9.26,7.17,7.54,9.01,6.12
1907,7.23,7.00,8.89,7.42,8.93,6.35,7.18,8.78,5.60
1908,6.97,6.68,8.49,7.31,8.57,6.26,6.85,8.42,5.28
1909,7.25,6.99,8.61,7.68,8.86,6.61,7.04,8.59,5.56
1910,8.18,7.87,9.38,8.72,9.68,7.66,7.90,9.39,6.52
1911,8.25,7.98,9.65,8.56,9.85,7.54,8.16,9.64,6.65
1912,6.97,6.69,8.47,7.28,8.60,6.23,6.85,8.44,5.31
1913,7.62,7.29,8.97,8.00,9.13,7.01,7.51,9.00,6.00
1914,7.38,7.04,8.61,7.79,8.82,6.84,7.27,8.68,5.80
1915,7.55,7.24,8.91,8.00,9.11,6.92,7.36,8.93,5.87
1916,8.37,8.08,9.78,8.73,9.99,7.67,8.25,9.80,6.73
1917,7.42,7.13,8.85,7.81,9.03,6.76,7.23,8.82,5.77
1918,8.15,7.86,9.43,8.53,9.68,7.53,8.00,9.47,6.58
1919,7.13,6.81,8.62,7.49,8.77,6.43,6.99,8.59,5.45
1920,8.04,7.73,9.57,8.32,9.67,7.31,7.94,9.53,6.41
1921,8.20,7.88,9.70,8.52,9.80,7.52,8.08,9.67,6.58
1922,6.81,6.51,8.50,7.08,8.54,6.01,6.69,8.42,5.10
1923,8.06,7.77,9.48,8.55,9.69,7.41,7.77,9.43,6.31
1924,6.93,6.63,8.42,7.34,8.57,6.26,6.71,8.36,5.24
1925,7.88,7.55,9.09,8.39,9.38,7.35,7.66,9.16,6.22
1926,8.38,8.12,9.79,8.78,10.03,7.64,8.19,9.79,6.72
1927,7.92,7.66,9.45,8.33,9.62,7.17,7.72,9.40,6.18
1928,7.86,7.63,9.50,8.05,9.59,6.97,7.80,9.44,6.21
1929,7.06,6.80,8.73,7.32,8.82,6.19,6.94,8.65,5.37
1930,8.46,8.17,9.77,8.95,10.02,7.86,8.18,9.76,6.79
1931,7.30,7.02,8.67,7.73,8.91,6.65,7.05,8.65,5.65
1932,7.77,7.47,9.17,8.10,9.33,7.13,7.59,9.16,6.17
1933,6.63,6.38,8.28,6.82,8.34,5.77,6.52,8.19,5.01
1934,9.25,8.98,10.59,9.62,10.81,8.60,9.08,10.59,7.67
1935,7.78,7.53,9.21,8.10,9.40,7.08,7.59,9.17,6.19
1936,8.18,7.87,9.46,8.68,9.72,7.63,7.91,9.48,6.53
1937,8.31,8.04,9.57,8.73,9.87,7.69,8.08,9.58,6.70
1938,8.17,7.86,9.45,8.59,9.68,7.58,7.98,9.48,6.57
1939,8.15,7.82,9.29,8.66,9.65,7.65,7.88,9.38,6.52
1940,5.67,5.38,7.36,5.91,7.40,4.84,5.62,7.27,3.97
1941,6.50,6.22,8.13,6.76,8.22,5.66,6.40,8.06,4.82
1942,6.86,6.56,8.46,7.16,8.56,6.08,6.75,8.40,5.17
1943,8.15,7.85,9.75,8.47,9.82,7.42,8.01,9.67,6.47
1944,7.86,7.55,9.18,8.31,9.40,7.28,7.63,9.19,6.22
1945,8.11,7.91,9.80,8.22,9.90,7.15,8.08,9.74,6.48
1946,8.30,8.07,9.82,8.64,10.00,7.55,8.07,9.73,6.62
1947,7.97,7.72,9.64,8.24,9.77,7.11,7.80,9.58,6.25
1948,8.25,7.95,9.73,8.57,9.89,7.53,8.10,9.72,6.58
1949,8.45,8.14,9.95,8.78,10.11,7.77,8.30,9.95,6.72
1950,8.49,8.22,10.03,8.79,10.24,7.70,8.34,10.02,6.80
1951,8.93,8.71,10.34,9.26,10.57,8.19,8.81,10.33,7.28
1952,7.80,7.59,9.30,8.11,9.53,6.98,7.66,9.27,6.10
1953,8.25,8.00,9.85,8.41,10.00,7.36,8.25,9.82,6.65
1954,7.13,6.87,8.68,7.35,8.84,6.30,7.07,8.65,5.49
1955,7.36,7.09,8.86,7.68,9.03,6.63,7.21,8.84,5.67
1956,6.62,6.36,8.29,6.87,8.37,5.77,6.51,8.25,4.93
1957,8.20,7.92,9.77,8.46,9.88,7.42,8.07,9.73,6.53
1958,8.09,7.81,9.64,8.39,9.81,7.32,7.94,9.62,6.40
1959,8.16,7.89,9.72,8.39,9.90,7.32,8.07,9.71,6.50
1960,8.05,7.81,9.55,8.39,9.73,7.30,7.88,9.53,6.36
1961,8.50,8.22,10.03,8.79,10.19,7.73,8.36,10.02,6.81
1962,7.15,6.91,8.58,7.52,8.80,6.45,6.95,8.57,5.45
1963,7.09,6.82,8.57,7.46,8.74,6.38,6.90,8.55,5.35
