Variable:,tas
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
1901,7.79,6.46,7.46,7.97,6.84,7.16,10.24,6.97,8.72,8.96,7.75,8.71,7.40
1902,7.78,6.52,7.54,7.98,6.78,7.20,10.29,7.00,8.59,8.73,7.74,8.72,7.40
1903,8.28,6.94,7.92,8.46,7.31,7.66,10.72,7.46,9.23,9.45,8.25,9.21,7.89
1904,8.65,7.32,8.32,8.83,7.67,8.03,11.13,7.83,9.57,9.76,8.62,9.57,8.26
1905,8.13,6.79,7.76,8.30,7.20,7.52,10.55,7.31,9.11,9.34,8.09,9.05,7.73
1906,8.05,6.71,7.68,8.22,7.07,7.43,10.49,7.23,9.00,9.25,8.01,8.97,7.66
1907,8.08,6.72,7.71,8.25,7.13,7.46,10.53,7.26,9.04,9.27,8.05,9.00,7.69
1908,7.68,6.36,7.35,7.87,6.71,7.08,10.15,6.87,8.59,8.79,7.64,8.60,7.29
1909,7.71,6.33,7.29,7.90,6.77,7.09,10.15,6.89,8.71,8.93,7.69,8.64,7.32
1910,8.39,7.00,7.92,8.58,7.47,7.77,10.79,7.58,9.42,9.65,8.39,9.33,8.02
1911,8.83,7.48,8.42,9.02,7.87,8.23,11.24,8.03,9.78,10.01,8.81,9.77,8.46
1912,7.92,6.59,7.52,8.14,6.96,7.33,10.34,7.14,8.85,9.03,7.91,8.88,7.56
1913,8.22,6.88,7.80,8.41,7.27,7.62,10.59,7.43,9.18,9.40,8.21,9.16,7.85
1914,7.90,6.60,7.64,8.07,6.90,7.29,10.40,7.08,8.77,8.97,7.85,8.81,7.50
1915,8.05,6.68,7.66,8.22,7.13,7.41,10.47,7.22,9.05,9.29,8.02,8.97,7.65
1916,8.95,7.55,8.47,9.14,8.05,8.34,11.33,8.14,10.00,10.23,8.95,9.89,8.58
1917,7.96,6.59,7.56,8.12,7.04,7.32,10.39,7.13,8.97,9.23,7.93,8.88,7.57
1918,8.45,7.08,7.96,8.64,7.54,7.84,10.78,7.64,9.48,9.71,8.44,9.39,8.07
1919,7.78,6.40,7.38,7.94,6.86,7.14,10.20,6.94,8.80,9.05,7.75,8.69,7.38
1920,9.09,7.80,8.79,9.29,8.11,8.51,11.57,8.30,9.95,10.11,9.06,10.02,8.72
1921,8.97,7.63,8.62,9.15,8.00,8.35,11.41,8.16,9.90,10.13,8.93,9.89,8.58
1922,7.97,6.65,7.63,8.17,7.00,7.37,10.45,7.17,8.87,9.06,7.96,8.91,7.61
1923,8.67,7.32,8.30,8.85,7.74,8.05,11.11,7.86,9.63,9.85,8.64,9.59,8.28
1924,7.97,6.68,7.73,8.18,6.94,7.39,10.53,7.19,8.79,8.95,7.93,8.91,7.60
1925,8.21,6.87,7.84,8.39,7.25,7.60,10.66,7.40,9.18,9.42,8.19,9.14,7.83
1926,8.99,7.64,8.61,9.17,8.03,8.38,11.44,8.18,9.94,10.14,8.96,9.92,8.60
1927,8.88,7.54,8.52,9.08,7.89,8.27,11.36,8.08,9.79,9.97,8.86,9.84,8.51
1928,8.71,7.39,8.36,8.90,7.78,8.11,11.13,7.91,9.64,9.85,8.68,9.64,8.32
1929,8.12,6.82,7.83,8.31,7.13,7.52,10.60,7.32,8.97,9.16,8.08,9.04,7.74
1930,9.04,7.69,8.63,9.24,8.09,8.45,11.48,8.25,9.98,10.20,9.03,9.97,8.68
1931,7.98,6.62,7.61,8.18,6.98,7.39,10.51,7.17,8.90,9.10,7.95,8.93,7.59
1932,8.48,7.19,8.20,8.66,7.46,7.89,10.94,7.68,9.36,9.57,8.43,9.40,8.09
1933,7.52,6.20,7.20,7.71,6.53,6.92,10.05,6.71,8.43,8.64,7.49,8.46,7.14
1934,9.52,8.15,9.09,9.69,8.60,8.88,11.89,8.70,10.55,10.81,9.50,10.43,9.13
1935,8.31,6.92,7.85,8.50,7.40,7.68,10.75,7.50,9.32,9.58,8.30,9.26,7.94
1936,8.77,7.42,8.36,8.98,7.81,8.17,11.22,7.98,9.71,9.94,8.76,9.70,8.41
1937,8.60,7.23,8.18,8.77,7.67,7.98,11.00,7.78,9.59,9.83,8.58,9.54,8.21
1938,8.46,7.09,8.04,8.64,7.50,7.83,10.89,7.65,9.46,9.71,8.44,9.37,8.07
1939,8.52,7.14,8.07,8.73,7.59,7.92,10.93,7.72,9.49,9.72,8.52,9.47,8.16
1940,6.98,5.71,6.78,7.19,5.98,6.41,9.58,6.20,7.76,7.89,6.94,7.91,6.61
1941,7.46,6.15,7.14,7.67,6.48,6.88,9.97,6.67,8.34,8.49,7.43,8.40,7.08
1942,8.14,6.87,7.92,8.35,7.11,7.57,10.76,7.35,8.90,9.04,8.09,9.07,7.76
1943,9.08,7.76,8.79,9.26,8.10,8.46,11.60,8.26,9.96,10.16,9.04,10.00,8.69
1944,8.14,6.77,7.70,8.32,7.23,7.52,10.52,7.33,9.13,9.38,8.12,9.07,7.76
1945,8.90,7.52,8.45,9.08,7.98,8.28,11.33,8.08,9.92,10.17,8.87,9.84,8.51
1946,9.12,7.77,8.72,9.31,8.18,8.51,11.52,8.32,10.07,10.27,9.11,10.09,8.76
1947,9.05,7.76,8.73,9.25,8.06,8.47,11.49,8.26,9.90,10.09,9.02,10.00,8.67
1948,9.01,7.71,8.70,9.20,8.02,8.41,11.45,8.20,9.90,10.12,8.98,9.92,8.63
1949,9.14,7.80,8.68,9.35,8.22,8.54,11.44,8.36,10.12,10.35,9.14,10.08,8.78
1950,9.37,8.03,8.91,9.60,8.43,8.80,11.69,8.60,10.29,10.49,9.36,10.36,9.01
1951,9.39,8.00,8.99,9.60,8.41,8.86,11.76,8.59,10.32,10.57,9.38,10.35,9.02
1952,8.52,7.06,8.10,8.76,7.53,7.99,10.93,7.73,9.47,9.68,8.52,9.49,8.16
1953,8.91,7.63,8.67,9.06,7.95,8.37,11.40,8.10,9.80,10.01,8.83,9.79,8.48
1954,7.92,6.66,7.75,8.06,6.89,7.41,10.45,7.11,8.75,8.93,7.83,8.79,7.48
1955,8.14,6.83,7.93,8.28,7.12,7.69,10.69,7.33,8.99,9.19,8.05,9.01,7.70
1956,7.60,6.25,7.33,7.78,6.63,7.06,10.13,6.79,8.50,8.73,7.53,8.51,7.18
1957,8.94,7.66,8.70,9.08,7.96,8.40,11.44,8.13,9.83,10.03,8.87,9.82,8.52
1958,9.10,7.68,8.68,9.33,8.13,8.49,11.46,8.30,10.08,10.26,9.11,10.07,8.75
1959,9.10,7.79,8.83,9.25,8.15,8.51,11.58,8.28,10.01,10.22,9.04,10.00,8.69
1960,8.80,7.38,8.42,9.01,7.85,8.22,11.21,7.99,9.76,10.01,8.80,9.76,8.44
1961,9.39,8.10,9.07,9.58,8.39,8.83,11.88,8.60,10.29,10.44,9.34,10.31,8.99
1962,7.77,6.47,7.52,7.97,6.72,7.22,10.34,6.98,8.62,8.80,7.71,8.68,7.37
1963,8.18,6.92,7.95,8.35,7.15,7.67,10.74,7.38,9.03,9.18,8.10,9.08,7.75
1964,8.50,7.31,8.34,8.65,7.51,7.94,11.06,7.70,9.31,9.41,8.41,9.37,8.08
1965,8.04,6.68,7.64,8.27,7.10,7.42,10.43,7.25,8.96,9.14,8.03,9.00,7.68
1966,9.07,7.67,8.63,9.29,8.15,8.37,11.37,8.26,10.07,10.36,9.08,10.04,8.72
1967,9.06,7.67,8.60,9.33,8.11,8.35,11.34,8.27,10.05,10.31,9.09,10.05,8.73
1968,8.65,7.29,8.25,8.89,7.66,8.03,11.02,7.86,9.60,9.83,8.64,9.61,8.28
1969,8.24,6.99,8.02,8.45,7.19,7.66,10.78,7.44,9.08,9.28,8.16,9.14,7.81
1970,8.22,6.78,7.77,8.50,7.22,7.58,10.60,7.43,9.19,9.41,8.24,9.22,7.89
1971,8.64,7.40,8.38,8.79,7.63,8.07,11.13,7.83,9.51,9.71,8.56,9.52,8.21
1972,8.50,7.21,8.25,8.67,7.46,8.01,11.07,7.69,9.36,9.56,8.41,9.38,8.05
1973,8.42,7.09,8.12,8.62,7.40,7.88,10.92,7.62,9.31,9.53,8.35,9.32,8.00
1974,8.93,7.54,8.53,9.10,8.04,8.35,11.29,8.12,9.91,10.24,8.91,9.85,8.55
1975,9.18,7.86,8.87,9.38,8.18,8.63,11.63,8.37,10.07,10.31,9.11,10.09,8.76
1976,8.44,7.17,8.18,8.61,7.44,7.86,10.90,7.62,9.32,9.63,8.35,9.32,8.00
1977,9.07,7.75,8.69,9.23,8.18,8.44,11.40,8.26,10.06,10.32,9.05,10.00,8.69
1978,7.86,6.62,7.64,7.99,6.85,7.29,10.40,7.04,8.74,8.98,7.76,8.72,7.41
1979,8.68,7.30,8.28,8.88,7.72,8.10,11.07,7.87,9.64,9.88,8.66,9.62,8.31
1980,7.87,6.58,7.57,8.01,6.90,7.24,10.33,7.06,8.78,9.00,7.83,8.77,7.48
1981,8.59,7.13,8.05,8.79,7.72,7.88,10.81,7.78,9.68,10.05,8.64,9.58,8.28
1982,9.09,7.81,8.82,9.23,8.11,8.52,11.58,8.27,10.00,10.22,9.01,9.96,8.65
1983,9.23,7.88,8.78,9.39,8.36,8.52,11.50,8.41,10.25,10.56,9.23,10.16,8.87
1984,8.26,6.91,7.86,8.45,7.33,7.58,10.60,7.44,9.23,9.55,8.24,9.20,7.88
1985,8.26,7.00,8.01,8.39,7.28,7.62,10.77,7.44,9.15,9.33,8.20,9.14,7.85
1986,8.44,7.23,8.25,8.58,7.41,7.85,11.01,7.61,9.30,9.53,8.32,9.30,7.97
1987,8.41,7.16,8.15,8.55,7.42,7.82,10.89,7.60,9.31,9.52,8.34,9.30,7.99
1988,9.13,7.80,8.77,9.28,8.20,8.49,11.52,8.32,10.09,10.38,9.09,10.04,8.74
1989,9.30,7.97,8.89,9.47,8.41,8.62,11.59,8.49,10.31,10.52,9.30,10.24,8.95
1990,9.50,8.14,9.13,9.70,8.53,8.92,11.93,8.70,10.45,10.68,9.46,10.43,9.11
1991,8.62,7.34,8.32,8.79,7.63,8.06,11.10,7.82,9.49,9.71,8.56,9.52,8.21
