Variable:,tas
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1901,2.32,6.92,2.35,3.22,7.39,7.04,1.13,5.85,6.66,6.34,-1.30,5.11,6.19,7.26,6.18,6.54,5.78,4.39,0.34,2.03,5.03,6.20
1902,0.29,5.46,0.41,1.12,5.52,5.61,-0.75,4.25,4.97,4.85,-3.65,3.13,4.31,5.91,4.06,4.35,3.58,2.55,-1.92,-0.11,2.90,4.60
1903,2.11,6.89,2.15,3.04,7.31,6.98,0.98,5.78,6.59,6.31,-1.67,4.96,6.07,7.25,5.99,6.38,5.62,4.15,0.10,1.87,4.85,6.06
1904,1.28,6.74,1.41,2.11,6.82,6.77,-0.08,5.53,6.29,6.11,-2.69,4.41,5.64,7.10,5.41,5.69,4.82,3.64,-1.13,0.66,4.18,5.73
1905,1.92,6.78,2.15,2.92,7.22,6.81,0.71,5.66,6.47,6.16,-1.96,4.98,6.01,7.10,6.02,6.36,5.56,4.23,-0.30,1.54,4.87,6.03
1906,2.41,7.46,2.65,3.43,7.75,7.55,1.23,6.36,7.13,6.88,-1.63,5.45,6.56,7.80,6.41,6.76,5.99,4.74,0.19,2.10,5.28,6.65
1907,1.94,6.37,1.78,2.64,6.52,6.49,0.86,5.30,6.00,5.82,-1.35,4.38,5.45,6.73,5.31,5.65,4.93,3.74,0.12,1.66,4.22,5.58
1908,2.00,6.66,2.14,2.89,6.86,6.85,0.91,5.69,6.33,6.14,-1.73,4.81,5.82,7.04,5.66,5.97,5.26,4.22,-0.08,1.70,4.59,6.10
1909,1.29,5.98,1.23,2.14,6.37,5.96,0.09,4.84,5.71,5.36,-2.27,4.03,5.15,6.29,5.09,5.46,4.68,3.22,-0.66,1.00,3.91,5.12
1910,2.62,7.60,2.73,3.64,7.98,7.73,1.52,6.50,7.31,7.04,-1.36,5.58,6.72,7.99,6.58,6.99,6.24,4.75,0.45,2.37,5.46,6.75
1911,2.65,7.75,2.84,3.67,7.95,7.84,1.41,6.60,7.39,7.16,-1.31,5.73,6.82,8.13,6.66,7.01,6.25,4.93,0.36,2.28,5.52,6.90
1912,1.53,6.56,1.98,2.77,6.81,6.64,0.76,5.44,6.22,5.97,-2.86,4.67,5.71,6.94,5.63,5.99,5.24,3.94,-0.73,1.41,4.55,5.76
1913,2.46,7.67,2.79,3.59,8.00,7.68,1.37,6.51,7.36,7.07,-1.79,5.63,6.77,8.02,6.66,7.03,6.24,4.86,0.13,2.17,5.50,6.76
1914,2.92,8.02,3.33,4.21,8.28,8.00,1.92,6.82,7.68,7.39,-1.33,6.07,7.13,8.36,7.08,7.45,6.69,5.28,0.62,2.77,5.98,7.06
1915,0.13,5.97,0.26,1.08,5.97,5.86,-1.19,4.54,5.44,5.25,-4.02,3.29,4.64,6.33,4.38,4.69,3.81,2.41,-2.40,-0.43,3.10,4.59
1916,1.73,6.80,1.92,2.60,6.76,6.88,0.61,5.59,6.31,6.20,-2.11,4.65,5.70,7.22,5.50,5.85,5.10,4.02,-0.51,1.27,4.42,5.91
1917,1.02,6.38,1.19,2.10,6.50,6.35,-0.01,5.07,5.94,5.71,-3.16,3.99,5.24,6.74,5.09,5.48,4.64,3.18,-1.21,0.80,3.89,5.24
1918,2.20,6.88,2.12,2.98,7.10,6.99,1.05,5.72,6.50,6.29,-1.32,4.87,5.94,7.29,5.84,6.22,5.45,4.11,0.28,1.88,4.71,6.04
1919,1.27,6.09,1.45,2.37,6.51,6.05,0.19,4.90,5.80,5.45,-2.59,4.14,5.23,6.40,5.24,5.64,4.90,3.34,-0.80,1.12,4.12,5.15
1920,3.10,7.34,2.90,3.93,7.71,7.35,2.03,6.23,7.07,6.76,-0.06,5.49,6.56,7.66,6.53,6.97,6.27,4.67,1.35,2.92,5.44,6.45
1921,2.45,7.70,2.76,3.56,7.92,7.69,1.23,6.50,7.33,7.07,-1.66,5.57,6.73,8.02,6.61,6.97,6.16,4.80,0.07,2.12,5.47,6.72
1922,1.29,5.89,1.39,2.22,6.33,5.76,0.22,4.67,5.62,5.22,-2.20,3.99,5.07,6.15,5.10,5.48,4.70,3.20,-0.79,0.99,4.00,4.95
1923,1.32,6.17,1.23,2.13,6.47,6.16,0.03,4.96,5.81,5.55,-2.18,4.04,5.19,6.50,5.11,5.52,4.74,3.24,-0.73,0.94,3.99,5.17
1924,2.07,6.18,2.03,2.91,6.72,6.26,1.07,5.13,5.99,5.62,-1.23,4.51,5.51,6.52,5.56,6.05,5.32,3.83,0.32,1.94,4.53,5.49
1925,2.37,7.34,2.25,3.18,7.72,7.35,1.11,6.16,7.00,6.71,-1.32,5.11,6.34,7.67,6.24,6.63,5.82,4.31,0.38,2.08,5.04,6.36
1926,1.66,7.08,1.86,2.53,7.11,7.21,0.51,5.89,6.59,6.49,-2.42,4.71,5.92,7.50,5.62,5.93,5.11,4.06,-0.71,1.15,4.45,6.14
1927,1.61,6.59,1.63,2.60,6.95,6.57,0.51,5.39,6.25,5.96,-2.23,4.48,5.66,6.90,5.59,6.00,5.19,3.59,-0.50,1.34,4.40,5.56
1928,1.54,6.43,1.42,2.31,6.59,6.52,0.35,5.22,5.99,5.82,-1.99,4.26,5.38,6.84,5.23,5.62,4.84,3.46,-0.50,1.18,4.08,5.47
1929,1.97,6.13,1.96,2.87,6.41,6.18,0.97,5.03,5.81,5.55,-1.35,4.43,5.34,6.47,5.39,5.81,5.12,3.79,0.27,1.91,4.37,5.41
1930,3.57,7.77,3.71,4.69,8.32,7.81,2.75,6.71,7.56,7.19,-0.11,6.22,7.14,8.07,7.27,7.71,7.02,5.45,1.79,3.65,6.24,7.09
1931,1.54,6.09,1.36,2.23,6.25,6.22,0.40,4.88,5.62,5.48,-1.72,3.96,5.01,6.51,4.92,5.33,4.60,3.35,-0.29,1.27,3.82,5.22
1932,2.97,7.41,2.96,3.81,7.58,7.55,1.90,6.29,6.96,6.84,-0.51,5.48,6.43,7.82,6.35,6.73,6.06,4.92,1.19,2.87,5.34,6.70
1933,2.61,7.16,2.84,3.62,7.10,7.29,1.75,6.00,6.66,6.56,-1.13,5.28,6.18,7.56,6.11,6.46,5.82,4.74,0.65,2.54,5.12,6.45
1934,4.10,8.71,4.20,5.14,8.92,8.77,3.04,7.60,8.33,8.14,0.39,6.85,7.83,9.06,7.77,8.17,7.50,6.12,2.18,4.05,6.74,7.90
1935,2.61,7.52,2.76,3.62,7.68,7.53,1.38,6.34,7.13,6.90,-1.22,5.60,6.61,7.85,6.54,6.93,6.19,4.84,0.50,2.38,5.42,6.66
1936,2.72,7.44,2.91,3.77,7.86,7.54,1.63,6.35,7.13,6.87,-1.12,5.64,6.64,7.78,6.60,7.02,6.28,4.89,0.60,2.50,5.53,6.71
1937,3.16,7.56,3.03,4.06,7.98,7.51,2.03,6.39,7.27,6.94,-0.16,5.71,6.77,7.85,6.77,7.19,6.47,4.80,1.40,3.03,5.69,6.58
1938,4.08,8.36,3.99,4.95,8.57,8.37,3.00,7.25,7.98,7.77,0.80,6.52,7.52,8.67,7.46,7.86,7.20,5.80,2.38,4.01,6.43,7.53
1939,2.68,7.74,2.79,3.79,8.05,7.61,1.61,6.49,7.36,7.06,-1.31,5.63,6.79,7.99,6.71,7.06,6.29,4.71,0.63,2.55,5.52,6.64
